CODICEIDENTIFICATIVOSITO;DENOMINAZIONESITOLOGISTICO;INDIRIZZO;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;LATITUDINE;LONGITUDINE;LOCALIZE
2113;eurosan;via cesare battisti 207;1893680833;98123;83048;MESSINA;83;ME;MESSINA;190;SICILIA;38991;-;38,18235052;15,54897578;1
2124;Sole e Natura di Aricò Alessandra;Largo Aquileia n.10;4159410879;95127;87015;CATANIA;87;CT;CATANIA;190;SICILIA;38991;39903;37,5171713;15,1032377;1
2126;ARTEMISIA;Via Principe Umberto, 168;1229190887;97019;88012;VITTORIA;88;RG;RAGUSA;190;SICILIA;39022;39903;36,9518576;14,535159;1
2131;Erb. La Verbena Dr. Gregorio Puglisi;Via Umberto n.100,102;2743130870;95027;87042;SAN GREGORIO DI CATANIA;87;CT;CATANIA;190;SICILIA;39022;-;37,55795784;15,10894062;1
2135;L'OFFICINA DELLE ERBE;via garibaldi 293;2131380830;98121;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39022;-;38,1940297;15,554114;1
2177;erboristeria e sanitaria MEDICAMENTA;via G. VERGA, 22;1111620892;96016;89011;LENTINI;89;SR;SIRACUSA;190;SICILIA;39022;43251;37,2928411;15,0003191;1
2186;Parafarmacia Dott.ssa Silvana Cammilleri;P.zza Umberto I°, 13;1755550850;93012;85007;GELA;85;CL;CALTANISSETTA;190;SICILIA;39022;41182;37,0741526;14,2403537;1
2200;Di raimondo Rosalba;Corso Italia n50;3090950878;95024;87004;ACIREALE;87;CT;CATANIA;190;SICILIA;39022;-;37,63441983;15,16067303;1
2248;L'angolo della Salute di E. Patti;V.Scannapieco 5;4845160870;95123;87015;CATANIA;87;CT;CATANIA;190;SICILIA;40513;-;37,51705065;15,06057729;1
2248;SMA-Scannapieco;V.Scannapieco 5;4845160870;95123;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39052;40512;37,51705065;15,06057729;1
2249;Sma-Gravina;V.Gramsci 53 A;4845160870;95030;87019;GRAVINA DI CATANIA;87;CT;CATANIA;190;SICILIA;39052;-;37,60272478;15,07551896;1
2260;Medicamenta;Corso Garibaldi, n° 5-7-9;1326090881;97015;88006;MODICA;88;RG;RAGUSA;190;SICILIA;39052;41455;36,85389858;14,82264719;1
2289;parafarmacia dott.ssa marchesini;Via cesare battisti, 190;2886810833;98123;83048;MESSINA;83;ME;MESSINA;190;SICILIA;42736;-;38,18235052;15,54897578;1
2289;parafarmacia dott.ssa marchesini;via cesare battisti 200;2886810833;98122;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39052;42735;38,18235052;15,54897578;1
2294;Parafarmacia Dott. Andrea Galante;Via Mario Rapisardi 68/b;6535140823;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;42675;-;38,13567085;13,34754693;1
2294;Parafarmacia dott. Giuseppe Canepa;via Mario Rapisardi 68/b;5554770825;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39052;42674;38,13567085;13,34754693;1
2295;Helios s.a.s di Carpino Paola;via adige, 6;1471640894;96010;89015;PALAZZOLO ACREIDE;89;SR;SIRACUSA;190;SICILIA;39052;40602;37,0677283;14,9081231;1
2299;NOVAFARMA;corso sicilia 16;4418510873;95100;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39052;-;37,50768063;15,08915156;1
2350;Plant Pharma;Via Etnea 473;3951620875;95125;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39052;-;37,56168402;15,05907861;1
2360;Erboristeria Le Tre Nature Dott. Pietra Cangialosi;Via G. Lo Bue 61;4665020824;90011;82006;BAGHERIA;82;PA;PALERMO;190;SICILIA;39052;40786;38,0862433;13,5082035;1
2371;Supermercato Max di Marrella Daniela e Sorella;via Contrada Carlici N 1;2088360843;92010;84024;MONTALLEGRO;84;AG;AGRIGENTO;190;SICILIA;39052;40574;37,3911879;13,3503598;1
2399;PARAFARMACIA;VIA MONTI SICANI 3,5,7;4434330876;95030;87051;TREMESTIERI ETNEO;87;CT;CATANIA;190;SICILIA;39052;42735;37,57444225;15,07341013;1
2399;PARAFARMACIA;Via MONTI SICANI 3,5,7;4434330876;95030;87051;TREMESTIERI ETNEO;87;CT;CATANIA;190;SICILIA;42736;-;37,57444225;15,07341013;1
2400;Farmaci06;Corso Gelone 44;1556690897;96100;89017;SIRACUSA;89;SR;SIRACUSA;190;SICILIA;39052;-;37,0714069;15,2829873;1
2431;Centro Sanitario Ortopedico di Calderone Natalina;Piazza G.Cascino n.18;1908080813;91022;81006;CASTELVETRANO;81;TP;TRAPANI;190;SICILIA;39083;41670;37,674462;12,795252;1
2448;Parafarmacia;C.so Vittorio Emanuele III n°118;5570240829;90049;82071;TERRASINI;82;PA;PALERMO;190;SICILIA;39083;41121;38,1536456;13,0814354;1
2450;PARAFARMACIA del CORSO di POULIOU DR.SSA KALLIOPI;CORSO DELLE PROVINCE,62;4451000873;95128;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39083;-;37,51576832;15,09785625;1
2454;medicalvet s.r.l.;via manzoni 132;1933090845;92100;84001;AGRIGENTO;84;AG;AGRIGENTO;190;SICILIA;39083;-;37,3067932;13,58394302;1
2466;FARMAPOINT Maymone della Dr.ssa Giuseppina;Viale Lazio, 60;3915280824;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;41640;43251;38,14024675;13,3324196;1
2466;FARMAPOINT di Leone Angelo;Viale Lazio, 60;5542090823;90144;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39083;41639;38,14024675;13,3324196;1
2472;Ipermercato CARREFOUR Belpasso;S.S 121 km 11,500;8652300156;95032;87007;BELPASSO;87;CT;CATANIA;190;SICILIA;39083;42704;37,528824;14,93726404;1
2473;ESSE TRE s.r.l.;Via Verona, s.n.;314600842;92019;84041;SCIACCA;84;AG;AGRIGENTO;190;SICILIA;39083;-;37,54354442;13,10280935;1
2500;FARMAVET ETNEA SRL;VIA ENNA, 3 D/E/F;3134590870;95128;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39083;41851;37,44220831;15,03582932;1
2503;savita&c. s.a.s.;via signore ritrovato 41;1101070868;94012;86004;BARRAFRANCA;86;EN;ENNA;190;SICILIA;39083;41305;37,379144;14,201071;1
2543;D.F.D. FARMACEUTICA S.R.L.;Corso CORSO UMBERTO 403;4595920879;95034;87009;BRONTE;87;CT;CATANIA;190;SICILIA;43435;44895;37,78882688;14,83449931;1
2543;ESERCIZIO FARMACEUTICO DEL DOTT. DILETTOSO ANTONIO;---- CORSO UMBERTO 403;4595920879;95034;87009;BRONTE;87;CT;CATANIA;190;SICILIA;43405;43434;37,78882688;14,83449931;1
2543;ESERCIZIO FARMACEUTICO DEL DOTT. DILETTOSO ANTONIO;CORSO UMBERTO 403;4445580873;95034;87009;BRONTE;87;CT;CATANIA;190;SICILIA;39083;43404;37,78882688;14,83449931;1
2570;erboristeria panacea;via Lo Jacono n. 53;5120480826;90100;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39083;-;38,13022074;13,33094987;1
2572;Parafarmacia Dottoressa Giulia Bongiorno;via Mazzini n.4;2255120814;91022;81006;CASTELVETRANO;81;TP;TRAPANI;190;SICILIA;39083;42216;37,6806251;12,7929247;1
2587;PARAFARMACIA;Via Edmondo Jenner,14;2261580811;91011;81001;ALCAMO;81;TP;TRAPANI;190;SICILIA;39083;41578;37,96384984;12,97409835;1
2588;Farmanatura SaS;Via Sacro Cuore 109;1092450889;97015;88006;MODICA;88;RG;RAGUSA;190;SICILIA;39083;-;36,83694198;14,76051652;1
2619;ALESAR snc di Russo R. & Greco A.;Corso Lombardia 57;4331100877;95014;87017;GIARRE;87;CT;CATANIA;190;SICILIA;39083;-;37,7238698;15,1905245;1
2620;Cosmos del Dr. A. Severino;ss115-Variante Nord-Complesso Marina, 4/C;2343100844;92014;84028;PORTO EMPEDOCLE;84;AG;AGRIGENTO;190;SICILIA;39083;-;37,31044113;13,50704362;1
2621;Cosmos del Dr. A. Severino;ss115-Variante Nord-Complesso Marina, 4/C;2343100844;92014;84028;PORTO EMPEDOCLE;84;AG;AGRIGENTO;190;SICILIA;39083;39355;37,2893888;13,5853587;1
2623;Officina del Benessere;Via Via Filippo Paladini 224/228;1749090856;93100;85004;CALTANISSETTA;85;CL;CALTANISSETTA;190;SICILIA;41730;-;37,4998585;14,06380755;1
2623;Officina del Benessere;via Filippo Paladini 224/228;1749090856;93100;85004;CALTANISSETTA;85;CL;CALTANISSETTA;190;SICILIA;39083;41729;37,4998585;14,06380755;1
2624;Farmacia Pasqualino dott.ssa Maria;via Antonino Sciascia 4;74560855;93100;85004;CALTANISSETTA;85;CL;CALTANISSETTA;190;SICILIA;39083;39355;37,4984967;14,0899272;1
2647;Rengis s.r.l.;Via Centonze 45;2706790835;98123;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39083;-;38,18838652;15,55557235;1
2650;Centro Commerciale le Zagare;C.da Bottazzi;2565790876;95037;87041;SAN GIOVANNI LA PUNTA;87;CT;CATANIA;190;SICILIA;41275;41486;37,5782757;15,0947724;1
2650;Centro Commerciale le Zagare;C.da Bottazzi;4764980878;95037;87041;SAN GIOVANNI LA PUNTA;87;CT;CATANIA;190;SICILIA;41487;-;37,5782757;15,0947724;1
2650;Centro Commerciale le Zagare;C.da Bottazzi;5031770877;95037;87041;SAN GIOVANNI LA PUNTA;87;CT;CATANIA;190;SICILIA;41030;41274;37,5782757;15,0947724;1
2650;Scaccia Fabio;C.da Bottazzi;5031770877;95037;87041;SAN GIOVANNI LA PUNTA;87;CT;CATANIA;190;SICILIA;39083;41029;37,5782757;15,0947724;1
2680;Alero';Via Dante 78;5471370824;90011;82006;BAGHERIA;82;PA;PALERMO;190;SICILIA;39114;39355;38,08415308;13,50367897;1
2680;Ortho - Pharma Srl;Via Dante 78;5471370824;90011;82006;BAGHERIA;82;PA;PALERMO;190;SICILIA;39356;44530;38,08415308;13,50367897;1
2686;La Terra Pirrè Rosa;via Ruggero Settimo 109;1130000886;97019;88012;VITTORIA;88;RG;RAGUSA;190;SICILIA;39114;43434;36,94899573;14,53448526;1
2694;maria teresa montalbano;viale della vittoria 315;1411060849;92100;84001;AGRIGENTO;84;AG;AGRIGENTO;190;SICILIA;39114;-;37,50689;13,08846541;1
2699;parafarmacia d.ssa c. consoli;via zecchino 86/d;1523320891;96100;89017;SIRACUSA;89;SR;SIRACUSA;190;SICILIA;39114;41305;37,0862127;15,2854512;1
2710;Farmacia del benessere;Via Giorgio Rizzo 127;2879080832;98057;83049;MILAZZO;83;ME;MESSINA;190;SICILIA;39114;41486;38,21586329;15,24045079;1
2726;DIFARMA SRL;VIA GIOVANNI VERGA S.N.C.;1093200861;94010;86010;GAGLIANO CASTELFERRATO;86;EN;ENNA;190;SICILIA;39114;43281;37,711952;14,536774;1
2726;DIFARMA SRL;Via GIOVANNI VERGA S.N.C.;1093200861;94010;86010;GAGLIANO CASTELFERRATO;86;EN;ENNA;190;SICILIA;43282;-;37,711952;14,536774;1
2733;Parafarmacia D.ssa Ricciardello Maria;P.zza Dante;2892690831;98061;83007;BROLO;83;ME;MESSINA;190;SICILIA;39114;-;38,15567817;14,82941604;1
2736;Banco Farmaceutico S.r.l;Via A.Gramsci N 18;4454150873;95014;87017;GIARRE;87;CT;CATANIA;190;SICILIA;39114;-;37,734848;15,2033353;1
2744;sanamedical dott.ssa teresa pisani;via P. Kennedy, 42;1338700881;97016;88008;POZZALLO;88;RG;RAGUSA;190;SICILIA;39114;40694;36,727443;14,839072;1
2746;Parafarmacia Dott. Triolo Carmelo;via A. De Gasperi 132;2462260841;92019;84041;SCIACCA;84;AG;AGRIGENTO;190;SICILIA;39114;41243;37,517746;13,083809;1
2751;paraFARMACIA;VIA TEN. COL. LA CARRUBBA,12;1174060853;92024;84011;CANICATTI';84;AG;AGRIGENTO;190;SICILIA;39114;-;37,37175426;13,83777524;1
2788;ANIMALFARMA DI PANTANO DR. CARLO;CORSO TIMOLEONTE N.98;1370020891;96100;89017;SIRACUSA;89;SR;SIRACUSA;190;SICILIA;39114;-;37,0714069;15,2829873;1
2795;Le erbe della salute;Viale Regina Elena 201;2612510830;98121;83048;MESSINA;83;ME;MESSINA;190;SICILIA;39114;41364;38,211869;15,55870134;1
2799;Parafarmacia Dott.ssa Frazzitta Antonina;v. Drago di Ferro,33;2259010813;91027;81013;PACECO;81;TP;TRAPANI;190;SICILIA;39114;-;37,95745639;12,58704204;1
2802;desan s.r.l.;via De Gasperi;1643040841;92024;84011;CANICATTI';84;AG;AGRIGENTO;190;SICILIA;39114;-;37,37175426;13,83777524;1
2805;parafarmacia;corso delle province, 251;4466200872;95100;87015;CATANIA;87;CT;CATANIA;190;SICILIA;39114;42155;37,51576832;15,09785625;1
2809;FRA.PRO srl;VIA GENERALE STREVA;4069110825;90143;82053;PALERMO;82;PA;PALERMO;190;SICILIA;39114;39325;38,1382076;13,3509394;1
2844;FARMANIMAL di BELLOMO DOTT.SSA ROSITA;P.ZZA FILIPPO CORRiDONI,26;1438300897;96012;89002;AVOLA;89;SR;SIRACUSA;190;SICILIA;39142;-;36,9272002;15,11904756;1
2846;laltrafarmacia;via g.b.fardella386;2242010813;91100;81021;TRAPANI;81;TP;TRAPANI;190;SICILIA;39142;-;38,0202591;12,530445;1
2847;laltrafarmacia;via g.b.fardella386;2242010813;91100;81021;TRAPANI;81;TP;TRAPANI;190;SICILIA;39142;39172;38,0188317;12,51742;1
2860;Farmashop Dr.Balbo;via Giusti 47;4415710872;95040;87040;SAN CONO;87;CT;CATANIA;190;SICILIA;39142;-;37,2912524;14,3665216;1
2867;croce verde;via Principe Piemonte 48;1083990893;96010;89020;PORTOPALO DI CAPO PASSERO;89;SR;SIRACUSA;190;SICILIA;39142;-;36,67286268;15,10066252;1
2881;Ipersalute srl;Via S. Vigo n 159;4081810873;95024;87004;ACIREALE;87;CT;CATANIA;190;SICILIA;39142;-;37,63441983;15,16067303;1
2893;ESERCIZIO FARMACEUTICO;c.so Garibaldi 420;1120230865;94012;86004;BARRAFRANCA;86;EN;ENNA;190;SICILIA;39142;-;37,37731576;14,20209153;1
2896;SANITARFARM S.N.C DEI F.LLI RONSISVALLE C.&S.;VIA VITTORIO EMANUELE, 1;4429520879;95038;87047;SANTA MARIA DI LICODIA;87;CT;CATANIA;190;SICILIA;39142;-;37,61378635;14,89472103;1
2897;Farmasalutis;Cso Vittorio Emanuele 212;1514500899;96012;89002;AVOLA;89;SR;SIRACUSA;190;SICILIA;39142;-;36,9099209;15,1367435;1
