CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
976;0;Via EUGENIO L'EMIRO, 34/36;VERGA SRL;6654320826;90135;82053;PALERMO;-;82;PA;PALERMO;190;SICILIA;45047;-;Ordinaria;1;45,75803406;8,376775811;1
14429;0;Via Empedocle, 71;AVERNA ANTONIO;141720847;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;40452;43281;Ordinaria;1;37,31095839;13,58128479;1
14430;0;Via Leonardo Sciascia, 28;CAMILLERI DELLE DR.SSE ANNACAMILLERI E DANIELA MANGIAPANE SNC;2366000848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,27368636;13,61799293;1
14431;0;Via Alessandro Manzoni, 28;NUARA MARCELLA;1528440843;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,3081491;13,5802265;1
14432;0;Via Gioeni, 159;ROMANO GIUSEPPINA;1800710848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,31437184;13,58147119;1
14433;0;Via Umberto, 27;AMORELLI PIETRO;1863360846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,54573002;13,4640617;1
14434;0;Via Roma, 163;CARBONE SNC;1832000846;92010;84002;ALESSANDRIA DELLA ROCCA;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,54573002;13,4640617;1
14435;0;Via Vittorio Emanuele, 121;Scurria M.c. Del Dr. Cirami David;106970841;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;43466;43861;Ordinaria;1;37,42045538;13,61218134;1
14436;0;Via Roma 40;PIRUZZA INNOCCENZO;2444060848;92021;84003;ARAGONA;-;84;AG;AGRIGENTO;190;SICILIA;39417;40451;Ordinaria;1;37,4051727;13,6178884;1
14437;0;Via Porta Palermo,61;Gattuso Renato;1709960841;92010;84004;BIVONA;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,57788911;13,40528909;1
14438;0;Via Nazionale, 2/E;PIZZITOLA MARIA MADDALENA;1717350845;92010;84005;BURGIO;-;84;AG;AGRIGENTO;190;SICILIA;39173;43465;Ordinaria;1;37,600546;13,287879;1
