ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
PA;CASA DI CURA COSENTINO;CORSO DEI MILLE 56;Palermo;Palermo;Casa di cura;Sede Operativa
PA;CENTRO ANDROS ;VIA AUSONIA 43/45;Palermo;Palermo;Day Surgery autonomo;Sede Operativa
PA;NUOVA CASA DI CURA DEMMA ;VIA ROMA 94;Palermo;Palermo;Radiologia;Sede Operativa
PA;AIAS ONLUS  PALERMO - SEZIONE BEN HAUCAL;VIA BEN HAUKAL 13;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS BELMONTE MEZZAGNO;VIA ANIME SANTE 24;Belmonte Mezzagno;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO BAGHERIA;VIA DANTE 28;Bagheria;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO GRAMSCI;VIA GRAMSCI 4/34;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO PARUTA ;Via Paruta, n. 47-47/A-47/B;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO RAITI;VIA RAITI 16;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - SEZIONE BERNINI;VIA BERNINI 4;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - SEZIONE BESIO ;VIA G. BESIO 73/79;Palermo;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PARTINICO ;VIA DE SANTIS S.N.C.;Partinico;Palermo;Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali;Sede Operativa
