DENOMINAZIONESITOLOGISTICO,INDIRIZZO,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,LATITUDINE,LONGITUDINE
eurosan,via cesare battisti 207,1893680833,98123,MESSINA,ME,MESSINA,"38,18235052","15,54897578"
Erb. La Verbena Dr. Gregorio Puglisi,"Via Umberto n.100,102",2743130870,95027,SAN GREGORIO DI CATANIA,CT,CATANIA,"37,55795784","15,10894062"
L'OFFICINA DELLE ERBE,via garibaldi 293,2131380830,98121,MESSINA,ME,MESSINA,"38,1940297","15,554114"
Di raimondo Rosalba,Corso Italia n50,3090950878,95024,ACIREALE,CT,CATANIA,"37,63441983","15,16067303"
L'angolo della Salute di E. Patti,V.Scannapieco 5,4845160870,95123,CATANIA,CT,CATANIA,"37,51705065","15,06057729"
Sma-Gravina,V.Gramsci 53 A,4845160870,95030,GRAVINA DI CATANIA,CT,CATANIA,"37,60272478","15,07551896"
parafarmacia dott.ssa marchesini,"Via cesare battisti, 190",2886810833,98123,MESSINA,ME,MESSINA,"38,18235052","15,54897578"
Parafarmacia Dott. Andrea Galante,Via Mario Rapisardi 68/b,6535140823,90144,PALERMO,PA,PALERMO,"38,13567085","13,34754693"
NOVAFARMA,corso sicilia 16,4418510873,95100,CATANIA,CT,CATANIA,"37,50768063","15,08915156"
Plant Pharma,Via Etnea 473,3951620875,95125,CATANIA,CT,CATANIA,"37,56168402","15,05907861"
PARAFARMACIA,"Via MONTI SICANI 3,5,7",4434330876,95030,TREMESTIERI ETNEO,CT,CATANIA,"37,57444225","15,07341013"
Farmaci06,Corso Gelone 44,1556690897,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
PARAFARMACIA del CORSO di POULIOU DR.SSA KALLIOPI,"CORSO DELLE PROVINCE,62",4451000873,95128,CATANIA,CT,CATANIA,"37,51576832","15,09785625"
medicalvet s.r.l.,via manzoni 132,1933090845,92100,AGRIGENTO,AG,AGRIGENTO,"37,3067932","13,58394302"
ESSE TRE s.r.l.,"Via Verona, s.n.",314600842,92019,SCIACCA,AG,AGRIGENTO,"37,54354442","13,10280935"
erboristeria panacea,via Lo Jacono n. 53,5120480826,90100,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
Farmanatura SaS,Via Sacro Cuore 109,1092450889,97015,MODICA,RG,RAGUSA,"36,83694198","14,76051652"
ALESAR snc di Russo R. & Greco A.,Corso Lombardia 57,4331100877,95014,GIARRE,CT,CATANIA,"37,7238698","15,1905245"
Cosmos del Dr. A. Severino,"ss115-Variante Nord-Complesso Marina, 4/C",2343100844,92014,PORTO EMPEDOCLE,AG,AGRIGENTO,"37,31044113","13,50704362"
Officina del Benessere,Via Via Filippo Paladini 224/228,1749090856,93100,CALTANISSETTA,CL,CALTANISSETTA,"37,4998585","14,06380755"
Rengis s.r.l.,Via Centonze 45,2706790835,98123,MESSINA,ME,MESSINA,"38,18838652","15,55557235"
Centro Commerciale le Zagare,C.da Bottazzi,4764980878,95037,SAN GIOVANNI LA PUNTA,CT,CATANIA,"37,5782757","15,0947724"
maria teresa montalbano,viale della vittoria 315,1411060849,92100,AGRIGENTO,AG,AGRIGENTO,"37,50689","13,08846541"
DIFARMA SRL,Via GIOVANNI VERGA S.N.C.,1093200861,94010,GAGLIANO CASTELFERRATO,EN,ENNA,"37,711952","14,536774"
Parafarmacia D.ssa Ricciardello Maria,P.zza Dante,2892690831,98061,BROLO,ME,MESSINA,"38,15567817","14,82941604"
Banco Farmaceutico S.r.l,Via A.Gramsci N 18,4454150873,95014,GIARRE,CT,CATANIA,"37,734848","15,2033353"
paraFARMACIA,"VIA TEN. COL. LA CARRUBBA,12",1174060853,92024,CANICATTI',AG,AGRIGENTO,"37,37175426","13,83777524"
ANIMALFARMA DI PANTANO DR. CARLO,CORSO TIMOLEONTE N.98,1370020891,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
Parafarmacia Dott.ssa Frazzitta Antonina,"v. Drago di Ferro,33",2259010813,91027,PACECO,TP,TRAPANI,"37,95745639","12,58704204"
desan s.r.l.,via De Gasperi,1643040841,92024,CANICATTI',AG,AGRIGENTO,"37,37175426","13,83777524"
FARMANIMAL di BELLOMO DOTT.SSA ROSITA,"P.ZZA FILIPPO CORRiDONI,26",1438300897,96012,AVOLA,SR,SIRACUSA,"36,9272002","15,11904756"
laltrafarmacia,via g.b.fardella386,2242010813,91100,TRAPANI,TP,TRAPANI,"38,0202591","12,530445"
Farmashop Dr.Balbo,via Giusti 47,4415710872,95040,SAN CONO,CT,CATANIA,"37,2912524","14,3665216"
croce verde,via Principe Piemonte 48,1083990893,96010,PORTOPALO DI CAPO PASSERO,SR,SIRACUSA,"36,67286268","15,10066252"
Ipersalute srl,Via S. Vigo n 159,4081810873,95024,ACIREALE,CT,CATANIA,"37,63441983","15,16067303"
ESERCIZIO FARMACEUTICO,c.so Garibaldi 420,1120230865,94012,BARRAFRANCA,EN,ENNA,"37,37731576","14,20209153"
SANITARFARM S.N.C DEI F.LLI RONSISVALLE C.&S.,"VIA VITTORIO EMANUELE, 1",4429520879,95038,SANTA MARIA DI LICODIA,CT,CATANIA,"37,61378635","14,89472103"
Farmasalutis,Cso Vittorio Emanuele 212,1514500899,96012,AVOLA,SR,SIRACUSA,"36,9099209","15,1367435"
L'ERBORISTERIA DI TIZIANA MUGNIECO,VIA GEN AMATO 135,1013390883,97013,COMISO,RG,RAGUSA,"36,96394265","14,59410392"
Parafarmacia Sant'Antonio,via Taormina 1,4452930870,95046,PALAGONIA,CT,CATANIA,"37,3283387","14,7446068"
l'erboristeria,via Vittorio Alfieri 32,831510821,90144,PALERMO,PA,PALERMO,"37,89898605","13,08666938"
PARAFARMACIA STE.MAR. srls,"Viale CAMPANIA,58",6524000822,90144,PALERMO,PA,PALERMO,"38,14453513","13,33896918"
ADRIANA ALBANESE,VIA GAETANO DAITA 34,5592330822,90100,PALERMO,PA,PALERMO,"38,12690919","13,3551896"
PARAFARMACIA  Dr  FICANI,via Leonardo Cacioppo n°56/58,2268820814,92013,MENFI,AG,AGRIGENTO,"37,61215302","12,96586907"
FARMASANITARIA,VIA NAZIONALE,1937430831,98048,SPADAFORA,ME,MESSINA,"38,2262792","15,395357"
PARAFARMACIA DI VULCANO,VIA PORTO LEVANTE,2851920831,98050,LIPARI,ME,MESSINA,"38,463769","14,953475"
officine ortopediche policlinico srl,Piazza francesco durante 19/20/21,4998450821,90127,PALERMO,PA,PALERMO,"38,1031551","13,3628001"
Laboratorio Erboristico Dott. Parla roberta,"Via Vittorio Emanuele, 70",2778260816,91028,PARTANNA,TP,TRAPANI,"37,72689924","12,89132459"
Parafarmacia C & D S.r.l.,"Via Randone, 9",1578230896,96100,SIRACUSA,SR,SIRACUSA,"37,0714069","15,2829873"
ASSFARMA,"VIA XXI APRILE, 3",4479310874,95047,PATERNO',CT,CATANIA,"37,53277515","14,85595885"
OXA S.R.L.,VIA AUTONOMIA SICILIANA N. 105-107,611150822,90143,PALERMO,PA,PALERMO,"38,13022074","13,33094987"
parafarmacia torre,"rettifilo garibaldi, 235",2291400840,92027,LICATA,AG,AGRIGENTO,"37,15445221","13,91888255"
IL DECALOGO DELLA DOTT.SSA MARIA PERLA CLEMENTE,"VIA TORREARSA, 7",1424880811,90139,PALERMO,PA,PALERMO,"38,1264459","13,35559217"
