ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
CL;AIAS ONLUS - SEZ DI GELA - CENTRO DI RIABILITAZIONE ;CONTRADA BORGO MANFRIA ;Gela;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;AMB ODONTOIATRICO DR CALOGERO PALERMO;VIALE TRIESTE 131/P ;Caltanissetta;CL;Odontoiatria;Sede Operativa
CL;"AMBULATORIO CARDIOLOGICO DI 
LA COGNATA & C SAS";VIA GIAN MARIA VOLONTE' 1 ;Gela;CL;Cardiologia;Sede Operativa
CL;AMBULATORIO DI CARDIOLOGIA DOTT NUNZIO TROVATO E C SAS;VIA DONIZETTI 14/16;Gela;CL;Cardiologia;Sede Operativa
CL;AMBULATORIO DI CARDIOLOGIA DOTT RAGUSA VINCENZO E C SNC;VIA SAMPERI 51;Niscemi;CL;Cardiologia;Sede Operativa
CL;AMBULATORIO DI CARDIOLOGIA DR SEBASTIANO ALDO ALAIMO;VIA QUASIMODO S.N;Mussomeli;CL;Cardiologia;Sede Operativa
CL;AMBULATORIO DI RADIOLOGIA CASA DI CURA VILLA ROSALBA SRL;VIA EUROPA 113;Gela;CL;Radiologia;Sede Operativa
CL;"AMBULATORIO DI REUMATOLOGIA FORTUNATO FERRACANE

 ";VIA F. CRISPI 339  ;Gela;CL;Reumatologia;Sede Operativa
CL;AMBULATORIO JOSEMA DI MIGLIORE JOSEPHINE SAS;VIA BORROMINI 8;Gela;CL;Ostetricia e ginecologia;Sede Operativa
CL;AMBULATORIO NISSENO EMODIALISI SRL;VIA PALADINI 43;Caltanissetta;CL;Dialisi;Sede Operativa
CL;AMBULATORIO ODONTOIATRICO A POSTEMA  ;VIA TAMIGI 24  ;Gela;CL;Odontoiatria;Sede Operativa
CL;AMBULATORIO ODONTOIATRICO DOTTSSA M C BONA SRL;VIA CRUCILLA' 161;Serradifalco;CL;Odontoiatria;Sede Operativa
CL;AMBULATORIO ODONTOIATRICO DR CARMELO SCICOLONE SRL;VIA MANZONI 78;Gela;CL;Odontoiatria;Sede Operativa
CL;AMBULATORIO ODONTOIATRICO IL SORRISO SRL;VIA CORTEMAGGIORE 80;Gela;CL;Odontoiatria;Sede Operativa
CL;AMBULATORIO OSTETRICO-GINECOLOGICO DI RUSSOTTO BRUNO E C SAS;VIA EVEREST 13;Gela;CL;Ostetricia e ginecologia;Sede Operativa
CL;ASSOCIAZIONE EUBIOS SOC COOP SOCIALE;VIA PIETRO LEONE 9;Caltanissetta;CL;Centro diurno per soggetti affetti da disturbo autistico;Sede Operativa
CL;BIOMEDICA SRL;VIA CAIROLI 1 ;Gela;CL;Medicina di laboratorio;Sede Operativa
CL;BIOTECHNOLOGIES SOCIETA' CONSORTILE A RL;VIA F. LAURANA SN;Mussomeli;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CAPOSOPRANO RESIDENCE ;VIA PALAZZI 217;Gela;CL;Residenza Sanitaria Assistita;Sede Operativa
CL;CASA DI CURA REGINA PACIS ;VIA PRINCIPE LANZA SCALEA 3/5;San Cataldo;CL;Attività  ambulatoriale case di cura private;Sede Operativa
CL;CASA DI CURA REGINA PACIS ;VIA PRINCIPE LANZA SCALEA, 3/5;San Cataldo;CL;Casa di cura;Sede Operativa
CL;CASA DI CURA SANTA BARBARA  HOSPITAL;VIA MINERBIO 1/3;Gela;CL;Attività  ambulatoriale case di cura private;Sede Operativa
CL;CASA DI CURA SANTA BARBARA HOSPITAL;VIA MINERBIO, 1/3;Gela;CL;Casa di cura;Sede Operativa
CL;CASA FAMIGLIA ROSETTA ONLUS - LA GINESTRA;C/DA BAGNO;Caltanissetta;CL;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
CL;CASA FAMIGLIA ROSETTA ONLUS  VILLA ASCIONE;CONTRADA CATUSI;Caltanissetta;CL;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
CL;CASA FAMIGLIA ROSETTA ONLUS  VILLA SERGIO;C/DA TUCARBO;Caltanissetta;CL;Casa Alloggio per Malati di Aids;Sede Operativa
CL;"CASA FAMIGLIA ROSETTA ONLUS -
 CENTRO DI RIABILITAZIONE MONS  CANNAROZZO ";VIA P. TOGLIATTI 3;Mazzarino;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;"CASA FAMIGLIA ROSETTA ONLUS 
 CENTRO DI RIABILITAZIONE VILLA SAN GIUSEPPE ";CONTRADA BAGNO ;Caltanissetta;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;"CASA FAMIGLIA ROSETTA ONLUS -
CENTRO DI RIABILITAZIONE DON FELICE DIERNA ";VIA CESARE TERRANOVA 13;Riesi;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;"CASA FAMIGLIA ROSETTA ONLUS -
CENTRO DI RIABILITAZIONE MONS  SPINNATO";PIAZZA S. MARIA DI GESU';Mussomeli;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;CENTRO ANALISI CLINICHE DR VITALE SRL ;VIALE KENNEDY 37 ;Caltanissetta;CL;Medicina di laboratorio;Sede Operativa
CL;CENTRO ANALISI PASTEUR SRL;CONTRADA PESSAGRANDE;Campofranco;CL;Medicina di laboratorio - Aggregazione;Punto Prelievo
CL;CENTRO ANALISI PASTEUR SRL;VIA CIMITERO;Resuttano;CL;Medicina di laboratorio - Aggregazione;Punto Prelievo
CL;CENTRO ANALISI PASTEUR SRL;CORSO VITTORIO EMANUELE 76;Marianopoli;CL;Medicina di laboratorio - Aggregazione;Punto Prelievo
CL;CENTRO ANALISI PASTEUR SRL;VIA CAVALIERI DI VITTORIO VENETO 35;Serradifalco;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO ANALISI PASTEUR SRL;CORSO VITTORIO EMANUELE 115/117;San Cataldo;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;"CENTRO ANALISI PASTEUR SRL  
";CORSO VITTORIO EMANUELE 115/117;San Cataldo;CL;Medicina di laboratorio - Aggregazione;Sede Operativa
CL;CENTRO BIOANALITICO SRL;VIA CAIROLI 254;Gela;CL;Medicina di laboratorio;Sede Operativa
CL;CENTRO DI FISIOTERAPIA ROCCA SRL;VIA POGGIO S. ELIA 28;Caltanissetta;CL;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
CL;CENTRO DIAGNOSTICO P BENZA SRL ;VIALE STEFANO CANDURA 18;Caltanissetta;CL;Radiologia;Sede Operativa
CL;CENTRO DIAGNOSTICO TERAPEUTICO RZR SRL  ;VIA CRUCILLA'   ;Serradifalco;CL;Dialisi;Sede Operativa
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIA CARLO PISACANE 32;Caltanissetta;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIA COMMENDA 42/44;Mazzarino;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIA ROMA 41;Santa Caterina Villarmosa;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIA MATTEOTTI 48;Sommatino;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIA CAVOUR 92;Sommatino;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO MEDICINA DI LABORATORIO TRINACRIA SOCIETA' CONSORTILE ARL;VIALE TRIESTE 131/H;Caltanissetta;CL;Medicina di laboratorio - Aggregazione;Sede Operativa
CL;CENTRO POLIDIAGNOSTICO SCARL;VIA SEN. G. DA MAGGIO 113;Gela;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO POLIDIAGNOSTICO SCARL;VIA PALAZZI 84;Gela;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;CENTRO POLIDIAGNOSTICO SCARL;VIA PALAZZI 84;Gela;CL;Medicina di laboratorio - Aggregazione;Sede Operativa
CL;CENTRO RADIOLOGICO SAS DI DOTTORE  ETTORE CAPONCELLO & C;VIALE EUROPA SN;Riesi;CL;Radiologia;Sede Operativa
CL;CONSORZIO DI COOPERATIVE SOCIALI A RL SISIFO ;VIA PARIOLI 2/a;Gela;CL;Assistenza domiciliare persone in fase terminale;Sede Operativa
CL;CSR CONSORZIO SICILIANO DI RIABILITAZIONE A R L;VIA NUOVO PIANO REGOLATORE S.N.;Caltanissetta;CL;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CL;CTA ETHOS DELLA SOC S MARIA DI BETLEMME SRL;VIA GEN. CASCINO 266;Gela;CL;Comunità  Terapeutica Assistita;Sede Operativa
CL;DIAGNOSTICA DR TILOCCA SRL;CORSO SALVATORE ALDISIO 264/268;Gela;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;DIAGNOSTICA DR TILOCCA SRL;VIA MAZZINI 10;Butera;CL;Medicina di laboratorio - Aggregazione;Punto Prelievo
CL;DIAGNOSTICA DR TILOCCA SRL;VIA EUROPA 61/63;Gela;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;DIAGNOSTICA DR TILOCCA SRL;CORSO SALVATORE ALDISIO 264/268;Gela;CL;Medicina di laboratorio - Aggregazione;Sede Operativa
CL;DIAVERUM ITALIA SRL;VIA PADOVA 55;Riesi;CL;Dialisi;Sede Operativa
CL;DR G R GIORDANO;CORSO V. EMANUELE 291  ;Gela;CL;Oculistica;Sede Operativa
CL;DR V CHIANTIA ;VIA BRANCIFORTE, 6;Niscemi;CL;Otorinolaringoiatria;Sede Operativa
CL;DSSA LUCIA SACCOMANDO;VIA N. COLAJANNI 88 ;Caltanissetta;CL;Odontoiatria;Sede Operativa
CL;DSSA VALENTINA GRAFFAGNINO;VIALE SICILIA 53;Caltanissetta;CL;Odontoiatria;Sede Operativa
CL;ISTITUTO RAIMONDI SRL;VIALE SICILIA 158;Caltanissetta;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;ISTITUTO RAIMONDI SRL;VIA BELVEDERE 2/C;San Cataldo;CL;Medicina di laboratorio - Aggregazione;Punto di accesso
CL;ISTITUTO RAIMONDI SRL;VIA BELVEDERE 2/C;San Cataldo;CL;Medicina di laboratorio - Aggregazione;Sede Operativa
CL;ITINERA MEDICA SRL  ;CONTRADA PEZZAGRANDE 26;Campofranco;CL;Odontoiatria;Sede Operativa
CL;KAIROS GESTITA DALLA SOC PAROLE E VITA SRL ;VIA GEN. CASCINO 268;Gela;CL;Comunità  Terapeutica Assistita;Sede Operativa
CL;LABORATORIO ANALISI CLINICHE D & P SNC;VIALE DELLA VITTORIA S.N.;Milena;CL;Medicina di laboratorio;Sede Operativa
CL;LABORATORIO ANALISI CLINICHE DR MICHELE PIOMBINO SAS;VIA ALPI 74 /A;Delia;CL;Medicina di laboratorio;Sede Operativa
