ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
ME;2010 GROUP DIAGNOSTICA CLINICA ASSOCIATA SC A RL;via Concezione  12;Messina;ME;Medicina di laboratorio - Aggregazione;Punto di accesso
ME;2010 GROUP DIAGNOSTICA CLINICA ASSOCIATA SC A RL;via Maddalena  24 Is. 157;Messina;ME;Medicina di laboratorio - Aggregazione;Punto di accesso
ME;2010 GROUP DIAGNOSTICA CLINICA ASSOCIATA SC A RL;via Natoli  20;Messina;ME;Medicina di laboratorio - Aggregazione;Punto di accesso
ME;2010 GROUP DIAGNOSTICA CLINICA ASSOCIATA SC A RL;VIA NATOLI N. 20;Messina;ME;Medicina di laboratorio - Aggregazione;Sede Operativa
ME;AESCULAPIUS SRL;CORSO MATTEOTTI  2;Patti;ME;Medicina di laboratorio;Sede Operativa
ME;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA CANOVA NÂ° 149;Messina;ME;Medicina di laboratorio - Aggregazione;Punto di accesso
ME;AIAS ONLUS - SEZIONE DI BARCELLONA POZZO DI GOTTO ;VIA GRAMSCI, COMPLESSO IL QUADRIFOGLIO;Milazzo;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;AIAS ONLUS - SEZIONE DI SAN FILIPPO DEL MELA ;CONTRADA DONNAMIATA;San Filippo del Mela;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;AIAS ONLUS - SEZIONE DI SAN FILIPPO DEL MELA - CENTRO AMBULATORIALE TREMESTIERI ;VIA ROTONDA  5 - TREMESTIERI ;Messina;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;AIAS ONLUS - SEZIONE TAORMINA ;VIA FRANCAVILLA 135;Taormina;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;"AIAS ONLUS MESSINA - CENTRO AMBULATORIALE DI RIABILITAZIONE ""FRANCESCO FASCIA"" ";VIA ISTRIA, ISOL. 416/A;Messina;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;ALFA SNC DI LANZA VOLPE CARMELO E C;PIAZZA DUOMO  24;Sant'Agata di Militello;ME;Medicina di laboratorio;Sede Operativa
ME;ALFANO SAS DI ALFANO SALVINA & C;VIA PAPA GIOVANNI XXIII  139;Barcellona Pozzo di Gotto;ME;Medicina di laboratorio;Sede Operativa
ME;AMBULATORIO DI RADIOLOGIA DOTT. CURRO' DOMENICO SRL;Via Kennedy 157;Barcellona Pozzo di Gotto;ME;Radiologia;Sede Operativa
ME;AMBULATORIO DI REUMATOLOGIA DOTT SARHAN AYED;vicolo Archimede Prima Traversa n. 30;Sant'Agata di Militello;ME;Reumatologia;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO CRUPI DI CECILIA CRUPI SAS;VIA F. CRISPI 4;Messina;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT  TRUSSO SFRAZZETTO STEFANIA;VIA L. PICCOLO 29;Capo d'Orlando;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT CARMELO GIOVANNI BUEMI;VIA DEL MARE 25;Barcellona Pozzo di Gotto;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT GIOVANNA LO PRESTI;VIA CAP. F. ZUCCARELLO 113;Patti;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT LA MALFA ROSARIA ANNA;VIA RISORGIMENTO 113;Milazzo;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT LA SPADA;VIA CARLO ALBERTO DALLA CHIESA 68/70;Librizzi;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO DOTT RUSSO EDUARDO;VIA LORENZO CUTUGNO 42;Barcellona Pozzo di Gotto;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO PRONESTI' SAS DI PRONESTI' CLAUDIO E PRONESTI' ROBERTO;VIA MAIO MARIANO 81;Milazzo;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO ODONTOIATRICO PRONESTI' SAS DI PRONESTI' CLAUDIO E PRONESTI' ROBERTO;VIA GIORDANO BRUNO 137 IS. 80;Messina;ME;Odontoiatria;Sede Operativa
ME;AMBULATORIO POLISPECIALISTICO SS ANNUNZIATA SRL;PIAZZA MATTEOTTI  11;Messina;ME;Poliambulatorio;Sede Operativa
ME;ANALISI BIOMEDICHE LENZO ABL SAS DI LENZO GIUSEPPE & C;VIA FRANCESCO CRISPI  219/D;Santa Teresa di Riva;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI CHIMICHE CLINICHE  MICROBIOLOGICHE TERME DEL DOTT  D IMBESI & C SAS;VIALE DELLE TERME  85;Terme Vigliatore;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI CHIMICO CLINICHE DOTTSSA C LA FERLITA ;VIA G. LA FARINA IS. 278 SCALA E;Messina;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI CLINICHE CALISPERA DOTT CURRO' GIACOMO SRL;SS 114 KM 4,020 CONTESSE;Messina;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI CLINICHE DELTA SAS DI MIRAGLIA PIETRO LORENZO ANTONINO & C;via San Martino 20;Brolo;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI CLINICHE DI AGOSTA GIUSEPPE E DI MUNI MARCELLA & C SNC;VIA MERCATO  1/3;Cesarò;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI QUATTROCCHI M & MIRICI SNC;VIA STRADALE S. NAGRA 1/A;Tortorici;ME;Medicina di laboratorio;Sede Operativa
ME;ANALISI SNC;VIA TRIESTE 52;Patti;ME;Medicina di laboratorio;Sede Operativa
ME;ANALYSIS SRL;VIA MADONNA DEL LUME 25;Milazzo;ME;Medicina di laboratorio;Sede Operativa
ME;ANFFAS ONLUS DI MESSINA;VIALE PRINCIPE UMBERTO 93;Messina;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;AQUASALUS SRL;VIA DEL VESPRO SNC;Venetico;ME;Residenza Sanitaria Assistita;Sede Operativa
ME;ASSOCIAZIONE ANTEA ONLUS;VIA ETTORE LOMBARDO PELLEGRINO 23/C;Messina;ME;Assistenza domiciliare persone in fase terminale;Sede Operativa
ME;ASSOCIAZIONE LELAT (LEGA LOTTA AIDS E TOSSICODIPENDENZE);VIA GAETANO ALESSI 74 (RIONE MANGIALUPI);Messina;ME;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
ME;ASSOCIAZIONE TRE ALI ONLUS;VIA LA FARINA 7;Messina;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;AUTISMO ASSOCIAZIONE TEMPORANEA TRA ONLUS;VIA OLIVARELLA SNC;Nizza di Sicilia;ME;Centro diurno per soggetti affetti da disturbo autistico;Sede Operativa
ME;AZIENDA SANITARIA POLIDIAGNOSTICA KENNEDY SRL;VIA KENNEDY  43/45;Brolo;ME;Medicina di laboratorio;Sede Operativa
ME;BENEROM SWEDISH CLUB DI SACCA' MARIO E C SAS;VIA MEDICI  26;Sant'Agata di Militello;ME;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
ME;CAPP 1990 COOPERATIVA SOCIALE;Via Oliveto s.n.c;Gaggi;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;CAPP 1990 COOPERATIVA SOCIALE;Via Giovanni Grasso 2/A ;Sant'Agata di Militello;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;CAPP 1990 COOPERATIVA SOCIALE;VIA KENNEDY 21/B ;Patti;ME;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
ME;CARDIO CENTER SRL;VIA GHIBELLINA 135;Messina;ME;Cardiologia;Sede Operativa
ME;CARDIO STUDIO SAS DI G ED S CUTUGNO & C;VIALE EUROPA  83/M IS. 47/B;Messina;ME;Cardiologia;Sede Operativa
ME;CARDIONOVA SAS DI MAJOLINO MARIO E STELLA BRIENZA LUIGI E C SAS;VIA TORRENTE TRAPANI CASE PARISI PAL B;Messina;ME;Cardiologia;Sede Operativa
ME;CASA DI CURA CAPPELLANI GIOMI ;VIALE REGINA ELENA 335 ;Messina;ME;Casa di cura;Sede Operativa
ME;CASA DI CURA CARMONA ;V.LE P.PE UMBERTO 75/G;Messina;ME;Casa di cura;Sede Operativa
ME;CASA DI CURA COT CURE ORTOPEDICHE TRAUMATOLOGICHE;VIA TORRENTE CAPPUCCINI;Lipari;ME;Attività  ambulatoriale case di cura private;Sede Operativa Secondaria
ME;CASA DI CURA COT CURE ORTOPEDICHE TRAUMATOLOGICHE;VIA DUCEZIO 1;Messina;ME;Attività  ambulatoriale case di cura private;Sede Operativa
ME;CASA DI CURA COT CURE ORTOPEDICHE TRAUMATOLOGICHE ;VIA DUCEZIO 1;Messina;ME;Casa di cura;Sede Operativa
ME;CASA DI CURA CRISTO RE ;VIALE P.PE UMBERTO 89;Messina;ME;Attività  ambulatoriale case di cura private;Sede Operativa
ME;CASA DI CURA CRISTO RE SRL;VIALE P. UMBERTO 89;Messina;ME;Casa di cura;Sede Operativa
ME;CASA DI CURA GIOMI SPA ISTITUTO ORTOPEDICO DEL MEZZOGIORNO D'ITALIA F  SCALABRINO;VIA CONSOLARE POMPEA 360;Messina;ME;Attività  ambulatoriale case di cura private;Sede Operativa
ME;CASA DI CURA GIOMI SPA ISTITUTO ORTOPEDICO DEL MEZZOGIORNO D'ITALIA F  SCALABRINO;VIA CONSOLARE POMPEA 360;Messina;ME;Casa di cura;Sede Operativa
ME;CASA DI CURA S CAMILLO;VIALE PRINCIPE UMBERTO 71;Messina;ME;Attività  ambulatoriale case di cura private;Sede Operativa
ME;CASA DI CURA S CAMILLO;VIALE PRINCIPE UMBERTO 71;Messina;ME;Casa di cura;Sede Operativa
