ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
PA;AIAS ONLUS   PALERMO - SEZIONE BEN HAUCAL;VIA BEN HAUKAL 13;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS BELMONTE MEZZAGNO;VIA ANIME SANTE 24;Belmonte Mezzagno;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO BAGHERIA;VIA DANTE 28;Bagheria;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO GRAMSCI;VIA GRAMSCI 4/34;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO PARUTA ;Via Paruta, n. 47-47/A-47/B;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - CENTRO RAITI;VIA RAITI 16;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - SEZIONE BERNINI;VIA BERNINI 4;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PALERMO - SEZIONE BESIO ;VIA G. BESIO 73/79;Palermo;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AIAS ONLUS PARTINICO ;VIA DE SANTIS S.N.C.;Partinico;PA;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
PA;AMBRA STUDIO MEDICO DEI DOTTORI ROBERTO PALERMO VINCENZO AGRIFOGLIO E PAOLA NAPOLI MEDICI E DELLA DOTTSSA ROSANNA CIRIMINNA BIOLOGA;VIALE REGINA MARGHERITA 5;Palermo;PA;Procreazione Medicalmente Assistita;Sede Operativa
PA;AMBULATORIO CARDIOLOGICO DI FRANCO DOTTSSA FIAMMETTA;VIA SCIUTI 87/C;Palermo;PA;Cardiologia;Sede Operativa
PA;AMBULATORIO CARDIOLOGICO DOTT GIANNOLA ANTONINO SAS;VIA RUGGERO SETTIMO 113-115-117;Terrasini;PA;Cardiologia;Sede Operativa
PA;AMBULATORIO CARDIOLOGICO SAS DI RIZZO DOTTSSA  ROSA ;VIA F. SPECIALE 79;Palermo;PA;Cardiologia;Sede Operativa
PA;AMBULATORIO DI FISIOCHINESITERAPIA DON GIUSEPPE LEONE DI FILIPPO LEONE & C SAS ;VIA CALA ROSSA 36;Terrasini;PA;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
PA;AMBULATORIO DI OSTETRICIA E GINECOLOGIA DELLA DOTTSSA BALDACCHINO MARIA PINA SAS;LARGO FRANCESCO GARUFI 8;Palermo;PA;Ostetricia e ginecologia;Sede Operativa
PA;AMBULATORIO DI OSTETRICIA E GINECOLOGIA DOTTSSA MARIA LETIZIA TOMASINO E C SAS;VIA L. SETTEMBRINI 4/A - 6;Palermo;PA;Ostetricia e ginecologia;Sede Operativa
PA;AMBULATORIO DIALISI E TERAPIA RENALE SRL;P.ZZA EUROPA 19/A;Palermo;PA;Dialisi;Sede Operativa
PA;AMBULATORIO MEDICO ODONTOIATRICO DEL DOTT FRANCESCO AMMIRATA;VIA NOTARBARTOLO 31;Palermo;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO OCULISTICO FOCUS SRL;Via Enrico Albanese, n. 17;Palermo;PA;Oculistica e chirurgia ambulatoriale;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO  MEDICI SRLS;VIA R. WAGNER 9;Palermo;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO CAROLLO DEI DOTTORI CAROLLO GASPARE E MARIO SAS;PIAZZA DEL POPOLO 2;San Giuseppe Jato;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO DEL DOTT ALESSANDRO GRANATELLI SRL  ;VIA E.BERNABEI 19;Palermo;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO DEL DOTT AMATO SRL;C.SO CALATAFIMI 338;Palermo;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO DEL DOTT. DAVI' ROSARIO E C. S.A.S.;Via Claudio Monteverdi, n. 39;Palermo;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO DELLA DOTTORESSA GIULIA LIBERTI & C SAS;CORSO GAETANO SCARPELLO 13/15;Misilmeri;PA;Odontoiatria;Sede Operativa
PA;AMBULATORIO ODONTOIATRICO DELLA DOTTSSA VERONICA CAPUTO;CORSO FINOCCHIARO APRILE 15;Palermo;PA;Odontoiatria;Sede Operativa
