INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Stradale Scoglitti, 66",Farmacia Vittoria,1674990880,97019,VITTORIA,RG,RAGUSA,Ordinaria,-,-
Viale Vittorio Veneto 15,Farmacia Santa Lucia,4281130403,94014,FLORIDIA,SR,SIRACUSA,Ordinaria,-,-
Via Tenente De Cristofaro N.37/39,Farmacia San Rocco Snc,5491510870,95048,SCORDIA,CT,CATANIA,Ordinaria,-,-
Via Giovanni Pascoli 22,"Farmacia San Corrado Della  Lmr S.n.c. Dei Dottori Luisa Rizza, Marino Giuseppe E Leonardi Salvino Antonio",1951920899,96018,PACHINO,SR,SIRACUSA,Ordinaria,-,-
"Viale F. Turati, 44",Farmacia Turati,1951930898,96014,FLORIDIA,SR,SIRACUSA,Ordinaria,-,-
Viale Della Libertà Snc,Farmacia Liberta' Srl,1951960895,96019,ROSOLINI,SR,SIRACUSA,Ordinaria,-,-
Via Gammara 39/c,Farmacia Gammara Snc,2681000812,91011,ALCAMO,TP,TRAPANI,Ordinaria,-,-
"Viale Dei Fiori, 82",Farmacia Del Viale,5529760877,95033,BIANCAVILLA,CT,CATANIA,Ordinaria,-,-
Contrada Marchitello S.s. 115 S.n.,Farmacia Marchitello,2014760850,93012,GELA,CL,CALTANISSETTA,Ordinaria,-,-
"Via Palermo, 123",Farmacia Dello Jato S.n.c.,6668010827,90048,SAN GIUSEPPE JATO,PA,PALERMO,Ordinaria,-,-
"Via Ugo La Malfa, 115",Farmacia La Malfa,6660620821,90146,PALERMO,PA,PALERMO,Ordinaria,-,-
Via Messina Ficarazzelli 11,Nuova Farmacia Snc Dei Dottori Alagna E C.,6658950826,90039,VILLABATE,PA,PALERMO,Ordinaria,-,-
Via J.f. Kennedy 65,Farmacia J.f. Kennedy S.r.l.,2691320812,91011,ALCAMO,TP,TRAPANI,Ordinaria,-,-
"Via Umberto I, 392",Farmacia San Giuseppe s.r.l.,3500310838,98048,SPADAFORA,ME,MESSINA,Ordinaria,-,-
Via Marina Di Petrolo 14/16,Farmacia Del Golfo Di Pollari D.ssa Antonella E Ferrara D.ssa Doriana S.n.c.,2683320812,91014,CASTELLAMMARE DEL GOLFO,TP,TRAPANI,Ordinaria,-,-
Zona Industriale C.da Mugno Sp 25 Snc,Ragusa 22,1675110884,97100,RAGUSA,RG,RAGUSA,Ordinaria,-,-
Via Caduti In Guerra Snc,Farmacia Fondachello Playa S.r.l.,2894330840,92027,LICATA,AG,AGRIGENTO,Ordinaria,-,-
Via Aldo Moro N. 95,Farmacia San Leonardo,6668140822,90047,PARTINICO,PA,PALERMO,Ordinaria,-,-
Via Falcone 99,Farmacia Via Falcone S.n.c.,1675090888,97100,RAGUSA,RG,RAGUSA,Ordinaria,-,-
"Via Stazione Circumetnea, 9",Farmacia Metropolitana S.r.l.,5530860872,95047,PATERNO',CT,CATANIA,Ordinaria,-,-
Viale Della Regione N. 136,Farmacia Viale Regione S.n.c.,6662650826,90047,PARTINICO,PA,PALERMO,Ordinaria,-,-
"Via Alcide De Gasperi, 339/a",Farmacia Nuova S.n.c. Dei Dott.ri Rosario Obiso E Serena Fanara,2685990810,91020,PETROSINO,TP,TRAPANI,Ordinaria,-,-
Via Filippo Parlatore 69/c,Farmacia Parlatore,6648330824,90145,PALERMO,PA,PALERMO,Ordinaria,-,-
Contrada Minaga 102/104,Farmacia Unità D'Italia,14295571005,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,-,-
Via Loreto Gallinara 1,Farmacia San Giorgio S.r.l.,1677550889,97015,MODICA,RG,RAGUSA,Ordinaria,-,-
"Corso Vittorio Emanuele, 517",Farmacia Gabatutti Di Strano Antonino E Bongiovanni Margherita S.n.c.,6668950824,90036,MISILMERI,PA,PALERMO,Ordinaria,-,-
Via Generale Cannada 480,Farmacia Nuova S.r.l.,1253480865,94012,BARRAFRANCA,EN,ENNA,Ordinaria,-,-
Via Papa Giovanni Xxiii 44,Farmacia Papa Giovanni S.r.l.,1675480881,97016,POZZALLO,RG,RAGUSA,Ordinaria,-,-
"Via Padre La Rocca, 57",Farmacia La Rocca S.n.c.,6659210824,90010,FICARAZZI,PA,PALERMO,Ordinaria,-,-
Via Circonvallazione 25,Farmacia Nuova Della Dott.ssa Scorsone Caterina E Del Dott. Zicari Gerlando S.n.c,2892380847,92016,RIBERA,AG,AGRIGENTO,Ordinaria,-,-
Via Kennedy 120,Farmacia Kennedy Di Alice Panto' & C. S.n.c.,6625100828,90040,CAPACI,PA,PALERMO,Ordinaria,-,-
"Via Vanella, 47",Farmacia Igea,1675060881,97015,MODICA,RG,RAGUSA,Ordinaria,-,-
Via Pier Paolo Morretta 35,Farmacia Semini S.r.l.,5534430870,95041,CALTAGIRONE,CT,CATANIA,Ordinaria,-,-
"C/da Spagnola, 362",Farmacia Agate,2684490812,91025,MARSALA,TP,TRAPANI,Ordinaria,-,-
Corso Umberto 396/398,Farmacia Santa Fara,6663960828,90045,CINISI,PA,PALERMO,Ordinaria,-,-
"Corso CRISTOFORO COLOMBO, 11 TER",FARMACIA SALUTE & BELLESSERE S.R.L.,5538890871,95039,TRECASTAGNI,CT,CATANIA,Ordinaria,-,-
"Via Roma, 344/b",Farmacia Gierre,6662680823,90036,MISILMERI,PA,PALERMO,Ordinaria,-,-
Via Pirandello 22-24,Farmacia San Piodella Dott.ssa Valeria Parisi E Del Dott. Vito Maurello S.n.c.,2894680848,92024,CANICATTI',AG,AGRIGENTO,Ordinaria,-,-
Via Luigi Sturzo N.ro 205,Farmacia Nazionale,5534700876,95014,GIARRE,CT,CATANIA,Ordinaria,-,-
"Via Dei Platani, 24",Farmacia Platani,6668190827,90047,PARTINICO,PA,PALERMO,Ordinaria,-,-
"Via Fanfani,71",Farmacia Lauricella,2893660841,92024,CANICATTI',AG,AGRIGENTO,Ordinaria,-,-
Via Provinciale 83,Farmacia Dei Fiori,6667600826,90044,CARINI,PA,PALERMO,Ordinaria,-,-
Piazza Della Vittoria 2,"Farmacia Amica S.n.c. Di Iannolino Lucia Grazia, Castrogiovanni Maria Grazia E Amato Giovanna",6663780820,90044,CARINI,PA,PALERMO,Ordinaria,-,-
Via Dei Greci 13/15,Farmacia La Pineta Delle Dott.sse Catalano Concetta E Zillitto Nunzia S.n.c.,1951800893,96010,PRIOLO GARGALLO,SR,SIRACUSA,Ordinaria,-,-
"Via Vittorio Emanuele Iii, 142/144/146",Nuova Farmacia Di Brolo,3504410832,98061,BROLO,ME,MESSINA,Ordinaria,-,-
"Via San Lorenzo, 273",Farmacia San Lorenzo,6626160821,90146,PALERMO,PA,PALERMO,Ordinaria,-,-
Via Loreto 19,Farmacia Del Corso,4288290408,90010,ALTAVILLA MILICIA,PA,PALERMO,Ordinaria,-,-
"Via Aldo Moro, 29",Farmacia San Castrense S.r.l.,6666860827,90046,MONREALE,PA,PALERMO,Ordinaria,-,-
"Via Vitaliano Brancati, 2",Farmacia Santa Barbara,6667610825,90015,CEFALU',PA,PALERMO,Ordinaria,-,-
"Via Giovanni Xxiii, 108 A-b-c",Farmacia San Vito,2895280846,92100,AGRIGENTO,AG,AGRIGENTO,Ordinaria,-,-
"Via Firenze, S/n",Montalfarma S.r.l.,3514670839,98057,MILAZZO,ME,MESSINA,Ordinaria,-,-
Strada Statale Santa Maria Degli Ammalati N. 152,Farmacia Sani Srl,5534200877,95024,ACIREALE,CT,CATANIA,Ordinaria,-,-
Contrada Bambina 48/e,Farmacia San Giuseppe S.r.l.,2690780818,91025,MARSALA,TP,TRAPANI,Ordinaria,-,-
"Corso Vittorio Veneto, 479/481",Farmacia Gagini,1663470886,97100,RAGUSA,RG,RAGUSA,Ordinaria,-,-
"Via Cristaudo, 72",Farmacia Monterosso S.r.l.,5533020870,95025,ACI SANT'ANTONIO,CT,CATANIA,Ordinaria,-,-
"Via Lo Jacono, 3",Farmacia San Lorenzo S.r.l.,5538220871,95030,SANT'AGATA LI BATTIATI,CT,CATANIA,Ordinaria,-,-
"Via Errante, 12",Farmacia Dott. Cattafi Gaspare,3087300830,98054,FURNARI,ME,MESSINA,Ordinaria,-,-
"Via Giacomo Matteotti, 236",Farmacia Viola Dei Dottori Randazzo Damiano E Paterno' Massimo Antonio Snc,6661880820,90049,TERRASINI,PA,PALERMO,Ordinaria,-,-
"Via G. Di Vittorio, 38",Farmacia Etika Dei Dottori Azzolina Maria E Galata' Filippo S.n.c.,5489980879,95045,MISTERBIANCO,CT,CATANIA,Ordinaria,-,-
Via Consolare Valeria 144/d,Nuova Naxos S.n.c.,3493460830,98035,GIARDINI-NAXOS,ME,MESSINA,Ordinaria,-,-
Via Sferracavallo N. 105/b,Farmacia Sferracavallo S.r.l.,6665560824,90147,PALERMO,PA,PALERMO,Ordinaria,-,-
Via Nizzeti 143,"Farmacia San Filippo S.n.c. Dei Dottori Emanuele Patane',Giuseppaalba Raciti E Rossella Timpanaro",5535720873,95022,ACI CATENA,CT,CATANIA,Ordinaria,-,-
"Via Santa Maria Di Gesu', 3a","Farmacia Della Guadagna Snc Di Nicosia Paolo, Patella Chiara E Vinciguerra Rosanna",6659720822,90124,PALERMO,PA,PALERMO,Ordinaria,-,-
Via Solicchiata 67/b,Farmacia Solicchiata S.r.l.,5536480873,95031,ADRANO,CT,CATANIA,Ordinaria,-,-
Via Sgroppillo N. 33 ? 35,Farmacia Pettinato S.r.l.,5530400877,95027,SAN GREGORIO DI CATANIA,CT,CATANIA,Ordinaria,-,-
Via Villagrazia 303 I,Nuova Farmacia Barone Scala S.r.l.,5537290875,90126,PALERMO,PA,PALERMO,Ordinaria,-,-
Strada Statale 113 Quartiere Piraineto 93,Farmacia Piraineto,6685910827,90044,CARINI,PA,PALERMO,Ordinaria,-,-
"Via Martiri Portella Della Ginestra,147",Farmacia San Giorgio,3502470838,90037,PIANA DEGLI ALBANESI,PA,PALERMO,Ordinaria,-,-
"Via Sardegna, 76",Farma Quattro,3533960781,95047,PATERNO',CT,CATANIA,Ordinaria,-,-
Via Palermo 29 I/l,Farmacia Belvedere,5531060878,95030,SAN PIETRO CLARENZA,CT,CATANIA,Ordinaria,-,-
"Via Fra Calofero Liotta, 4/6/8",Farmacia Ferraro Srl,2895380844,92019,SCIACCA,AG,AGRIGENTO,Ordinaria,-,-
"Corso Antonio Gramsci, 175",Farmacia Sacro Cuore,2015220854,93015,NISCEMI,CL,CALTANISSETTA,Ordinaria,-,-
"Via Perpignano, 325",Farmacia Perpignano,6666920829,90135,PALERMO,PA,PALERMO,Ordinaria,-,-
"Via Terre    Nere, 81",FARMACIA   TERRE   NERE   S.R.L.,5533860879,95040,MOTTA SANT'ANASTASIA,CT,CATANIA,Ordinaria,-,-
"Via Trabucco, 123",Farmacia Gia.di.na.,6665190820,90146,PALERMO,PA,PALERMO,Ordinaria,-,-
"Via Capitano Emanuele Basile, 14",Caman Farma S.r.l.,6666160822,90135,PALERMO,PA,PALERMO,Ordinaria,-,-
"Via Palermo, 59",Farmacia Palike',5537930876,95046,PALAGONIA,CT,CATANIA,Ordinaria,-,-
"Via Gaetano Amoroso, 2",Farmacia Montegrappa,6665200827,90128,PALERMO,PA,PALERMO,Ordinaria,-,-
"Via Via Messina Marine, 585/A",Farmacia Cali' Chiara & C.  s.n.c.,6662450821,90121,PALERMO,PA,PALERMO,Ordinaria,-,-
