CAP,Indirizzo,Denominazione struttura,Descrizione tipo assistenza erogata,Tipo struttura,Denominazione struttura di ricovero,Mesi di funzionamento,Giorni settimanali di apertura,Ore settimanali di apertura,Partita IVA,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax
92026,VIA TEN.COL. STUTO N. 12,ATTANASIO SALVATORE,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,6,20,679990846,amatoannamaria@libero.it,,922,436872,922,436872
92100,VIA BARONE CELSA N.10/12,CENTRO ANALISI CLINICO BIOLOGICHE CACCIATORE M & C S.N.C.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,30,2080180843,laboratoriocam@libero.it,,922,605861,922,605861
92100,VIA CALLICRATIDE N. 13,CALCULLO CALOGERO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,715340840,calogero.calcullo@ag.omceo.it,,922,596611,922,596611
92100,VIA IMERA N. 82,STUD. NEUR. DR.SSA CANDIDO TERESA & C.S.A.S.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,30,2245110842,titacandido@hotmail.it,,922,596886,922,30026
92100,VIA PORTA AUREA,SIA CASA DI CURA S.ANNA S.P.A.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,SIA CASA DI CURA S. ANNA S.P.A.,12,6,36,137210845,siaccsanna@libero.it,,922,409111,922,409310
92100,VIA GUSTAVO CHIESI N. 15,CENTRO ODONTOSTOMATOLOGICO CASTELLINO S.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,33,2197530849,studio.castellino@libero.it,,922,606961,,
92100,VIA IMERA N. 222,LABORATORIO ANALISI CLINICHE GREEN S.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,6,30,2339460848,laboratoriogreen@gmail.com,,922,595288,922,595288
92100,VIA GIOENI N. 43,CAVALLERO VALERIA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,20,1444770844,cavallerovaleria58@gmail.com,,922,29779,,
92100,VIA PIER SANTI MATTARELLA N. 89,CENTRO EMODIALISI AURORA S.R.L.,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,6,48,233100841,TRUPIAAU@ALICE.IT,,922,602555,922,610926
92100,VIA F.CRISPI N. 132/140,STUDIO FISIOKINESITERAPICO DA.MA.SCO. S.A.S. DI DANILE ANTONELLA,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,40,309410843,STUDIODAMASCO@LIBERO.IT,,922,21132,922,21132
92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,35,590560843,centromedicoelios@alice.it,,922,595101,922,404092
92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,5,35,590560843,centromedicoelios@alice.it,,922,595101,922,404092
92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,5,35,590560843,centromedicoelios@alice.it,,922,595101,922,404092
92100,VIA GIOENI N. 30,CINA' ANTONINO,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,5,16,1322630847,antocina@tin.it,,922,22899,922,22899
