INDIRIZZO,DESCRIZIONEFARMACIA,PARTITAIVA,CAP,DESCRIZIONECOMUNE,SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONETIPOLOGIA,LATITUDINE,LONGITUDINE
"Stradale Scoglitti, 66",Farmacia Vittoria,1674990880,97019,VITTORIA,RG,RAGUSA,Ordinaria,0.0,0.0
Viale Vittorio Veneto 15,Farmacia Santa Lucia,4281130403,94014,FLORIDIA,SR,SIRACUSA,Ordinaria,37.0803344,15.1584287
Via Tenente De Cristofaro N.37/39,Farmacia San Rocco Snc,5491510870,95048,SCORDIA,CT,CATANIA,Ordinaria,0.0,0.0
Via Giovanni Pascoli 22,"Farmacia San Corrado Della  Lmr S.n.c. Dei Dottori Luisa Rizza, Marino Giuseppe E Leonardi Salvino Antonio",1951920899,96018,PACHINO,SR,SIRACUSA,Ordinaria,36.7147567,15.0794503
"Viale F. Turati, 44",Farmacia Turati,1951930898,96014,FLORIDIA,SR,SIRACUSA,Ordinaria,0.0,0.0
Viale Della Libertà Snc,Farmacia Liberta' Srl,1951960895,96019,ROSOLINI,SR,SIRACUSA,Ordinaria,0.0,0.0
Via Gammara 39/c,Farmacia Gammara Snc,2681000812,91011,ALCAMO,TP,TRAPANI,Ordinaria,37.9834014,12.9528192
"Viale Dei Fiori, 82",Farmacia Del Viale,5529760877,95033,BIANCAVILLA,CT,CATANIA,Ordinaria,37.649002,14.851527
Contrada Marchitello S.s. 115 S.n.,Farmacia Marchitello,2014760850,93012,GELA,CL,CALTANISSETTA,Ordinaria,0.0,0.0
"Via Palermo, 123",Farmacia Dello Jato S.n.c.,6668010827,90048,SAN GIUSEPPE JATO,PA,PALERMO,Ordinaria,37.9730347,13.1872546
"Via Ugo La Malfa, 115",Farmacia La Malfa,6660620821,90146,PALERMO,PA,PALERMO,Ordinaria,38.1636401,13.3146247
Via Messina Ficarazzelli 11,Nuova Farmacia Snc Dei Dottori Alagna E C.,6658950826,90039,VILLABATE,PA,PALERMO,Ordinaria,38.0880621,13.452666
Via J.f. Kennedy 65,Farmacia J.f. Kennedy S.r.l.,2691320812,91011,ALCAMO,TP,TRAPANI,Ordinaria,0.0,0.0
