SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONECOMUNE,CAP,INDIRIZZO,DESCRIZIONEFARMACIA,LATITUDINE,LONGITUDINE,PARTITAIVA
PA,PALERMO,PALERMO,90135,"Via EUGENIO L'EMIRO, 34/36",VERGA SRL,45.75803406,8.376775811,6654320826
AG,AGRIGENTO,AGRIGENTO,92100,"Via Empedocle, 71",AVERNA ANTONIO,37.31095839,13.58128479,141720847
AG,AGRIGENTO,AGRIGENTO,92100,"Via Leonardo Sciascia, 28",CAMILLERI DELLE DR.SSE ANNACAMILLERI E DANIELA MANGIAPANE SNC,37.27368636,13.61799293,2366000848
AG,AGRIGENTO,AGRIGENTO,92100,"Via Alessandro Manzoni, 28",NUARA MARCELLA,37.3081491,13.5802265,1528440843
AG,AGRIGENTO,AGRIGENTO,92100,"Via Gioeni, 159",ROMANO GIUSEPPINA,37.31437184,13.58147119,1800710848
AG,AGRIGENTO,ALESSANDRIA DELLA ROCCA,92010,"Via Umberto, 27",AMORELLI PIETRO,37.54573002,13.4640617,1863360846
AG,AGRIGENTO,ALESSANDRIA DELLA ROCCA,92010,"Via Roma, 163",CARBONE SNC,37.54573002,13.4640617,1832000846
AG,AGRIGENTO,ARAGONA,92021,"Via Vittorio Emanuele, 121",Scurria M.c. Del Dr. Cirami David,37.42045538,13.61218134,106970841
AG,AGRIGENTO,ARAGONA,92021,Via Roma 40,PIRUZZA INNOCCENZO,37.4051727,13.6178884,2444060848
AG,AGRIGENTO,BIVONA,92010,"Via Porta Palermo,61",Gattuso Renato,37.57788911,13.40528909,1709960841
AG,AGRIGENTO,BURGIO,92010,"Via Nazionale, 2/E",PIZZITOLA MARIA MADDALENA,37.600546,13.287879,1717350845
AG,AGRIGENTO,CALTABELLOTTA,92010,"Via Triocola, 37",MAGRO DELLA DR.SSA GRAZIELLA DI LIBERTO,37.58329137,13.19986666,2654830849
AG,AGRIGENTO,CAMASTRA,92020,"Corso Vittorio Veneto, 156",NOCERA GRAZIELLA,37.25107178,13.80613289,87250841
AG,AGRIGENTO,CAMMARATA,92022,"Via Cesare Battisti, 21",Farmacia Imbornone Francesco Dei Dottori Aurelio E Lilla Imbornone S.n.c.,37.63052936,13.69455864,2621410840
AG,AGRIGENTO,CAMMARATA,92022,"Via Bonfiglio, 30",LA VERDE CALOGERA,37.63052936,13.69455864,1525110845
AG,AGRIGENTO,CAMPOBELLO DI LICATA,92023,"Via Vittorio Emanuele, 170",Brancato Calogero,37.256939,13.918198,306500844
AG,AGRIGENTO,CAMPOBELLO DI LICATA,92023,"Via Umberto, 137",SMERAGLIA BIAGIA,37.2585873,13.9185076,1436050809
AG,AGRIGENTO,CANICATTI',92024,"Via Capo Ippolito, 75",DE SIMONE ANNA,37.37175426,13.83777524,0
AG,AGRIGENTO,CANICATTI',92024,"Via Minniti, 7",COMPARATO DELLA DR.SSA ANGELA COMPARATO E C. SAS,37.37175426,13.83777524,76210848
AG,AGRIGENTO,CANICATTI',92024,"Via Dott. Sciascia, 3",LA LICATA VINCENZA,37.3603008,13.8520702,76210848
AG,AGRIGENTO,CANICATTI',92024,"Corso Umberto I, 19",GALLO ROBERTO,37.37175426,13.83777524,0
AG,AGRIGENTO,CANICATTI',92024,"Via Sen. Gangitano, 20",PANTANO LUIGIA,37.360338,13.8497203,2366360846
AG,AGRIGENTO,CANICATTI',92024,"Viale Regina Margherita, 53",SAVATTERI SNC DI SAVATTERI VITTORIO E SAVATTERI EMANUELA,37.3572074,13.8492086,2600130849
AG,AGRIGENTO,CASTELTERMINI,92025,"Corso Umberto, 82",CACCIATORE DI CACCIATORE MARIA E C. SNC,37.52937302,13.62738864,3432850877
AG,AGRIGENTO,CASTROFILIPPO,92020,"Piazza Giovanni XXIII, 4",BRUCCOLERI IRENE,37.35498766,13.75273041,324180843
AG,AGRIGENTO,CATTOLICA ERACLEA,92011,"Via Marchese Borsellino, 12",ARGENTO MICHELE,37.43840133,13.39579553,2565600844
AG,AGRIGENTO,CATTOLICA ERACLEA,92011,"Via Prof. Leonardi, 108",SAJEVA GIORGIO MARIA ANTONIO,37.439127,13.3967829,422850842
AG,AGRIGENTO,CIANCIANA,92012,"Salita Convento, 42",Contissa Maria Rosa,37.49545522,13.42146646,97110845
AG,AGRIGENTO,CIANCIANA,92012,"Corso Nazionale, 143",EREDI GAGLIANO EMANUELE,37.5651547,13.453461,88910849
AG,AGRIGENTO,FAVARA,92026,"Piazza Giuseppe Garibaldi, 1",ARCURI ROSARIO,37.31834487,13.67252476,1606520847
AG,AGRIGENTO,FAVARA,92026,"Via Vittorio Emanuele, 29",CENTRALE DELLA SOC.F.CIA S.CALOIRU SAS DI D'ANNA ASSUNTA,37.31834487,13.67252476,1624200844
AG,AGRIGENTO,JOPPOLO GIANCAXIO,92010,"Via Kennedy, 7",LO GIUDICE PASQUALE,37.38211623,13.5668365,0
AG,AGRIGENTO,LICATA,92027,"Corso Roma, 3",Gagliano Giuseppina & C.snc,37.15445221,13.91888255,2765280843
AG,AGRIGENTO,LICATA,92027,"Corso Umberto, 3",Fregapane Giuseppina,37.101742,13.937628,1708880842
AG,AGRIGENTO,LICATA,92027,"Corso Vittorio Emanuele, 44",Platamone Della Dr.ssa Mallia Ornella Anna Maria,37.15445221,13.91888255,2659320846
AG,AGRIGENTO,LUCCA SICULA,92010,"Via Roma, 22",SEDITA ANNA MARIA,37.56170058,13.32532802,577090848
AG,AGRIGENTO,MENFI,92013,"Corso Dei Mille, 15",SPITALI GASPARE,37.598655,12.972523,97430847
AG,AGRIGENTO,MENFI,92013,"Via Giacomo Matteotti, 4","TAVORMINA DEI DR.I  GIUSEPPE, VINCENZO E MASSIMO SNC",37.5993466,12.9685215,2508000847
AG,AGRIGENTO,MONTEVAGO,92010,"Piazza Matteotti, 4",TRIOLO MARIO,37.7018259,12.990765,2307740841
