CODICEIDENTIFICATIVOFARMACIA;CODFARMACIAASSEGNATODAASL;INDIRIZZO;DESCRIZIONEFARMACIA;PARTITAIVA;CAP;CODICECOMUNEISTAT;DESCRIZIONECOMUNE;FRAZIONE;CODICEPROVINCIAISTAT;SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;CODICEREGIONE;DESCRIZIONEREGIONE;DATAINIZIOVALIDITA;DATAFINEVALIDITA;DESCRIZIONETIPOLOGIA;CODICETIPOLOGIA;LATITUDINE;LONGITUDINE;LOCALIZE
976;0;Via EUGENIO L'EMIRO, 34/36;VERGA SRL;6654320826;90135;82053;PALERMO;-;82;PA;PALERMO;190;SICILIA;45047;-;Ordinaria;1;45,75803406;8,376775811;1
14429;0;Via Empedocle, 71;AVERNA ANTONIO;141720847;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;40452;43281;Ordinaria;1;37,31095839;13,58128479;1
14429;0;Via Atenea, 325;AVERNA ANTONIO;141720847;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;38353;40451;Ordinaria;1;37,31095839;13,58128479;1
14429;0;Via Empedocle, 71;Farmacia Vajola srl;2773740846;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;44835;-;Ordinaria;1;37,31095839;13,58128479;1
14429;0;Via Empedocle, 71;Vajola S.n.c. Di Vajola Innocenza;2773740846;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;43282;44834;Ordinaria;1;37,31095839;13,58128479;1
14430;0;Via Leonardo Sciascia, 28;CAMILLERI DELLE DR.SSE ANNACAMILLERI E DANIELA MANGIAPANE SNC;2366000848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,27368636;13,61799293;1
14430;0;Via Leonardo Sciascia, 28;CAMILLERI DELLE DR.SSE ANNA E GIOVANNA CAMILLERI SNC;2366000848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;38353;41333;Ordinaria;1;37,27368636;13,61799293;1
14430;0;Via Leonardo Sciascia, 28;Camilleri Delle Dr.sse Annacamilleri E Daniela Mangiapane Snc;2366000848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,27368636;13,61799293;1
14431;0;Via Alessandro Manzoni, 28;NUARA MARCELLA;1528440843;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;38353;43465;Ordinaria;1;37,3081491;13,5802265;1
14431;0;Via Alessandro Manzoni, 28;Nuara Marcella;1528440843;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;43466;-;Ordinaria;1;37,3081491;13,5802265;1
14432;0;Via Gioeni, 159;ROMANO GIUSEPPINA;1800710848;92100;84001;AGRIGENTO;-;84;AG;AGRIGENTO;190;SICILIA;41334;43465;Ordinaria;1;37,31437184;13,58147119;1
