Anno;Codice Regione;Codice Azienda;Codice struttura;Tipo assistenza erogata;Descrizione tipo assistenza erogata;Denominazione struttura;Partita IVA;Indirizzo;Codice Comune;CAP;E-mail;Sito web;Prefisso;Telefono;Prefisso fax;Numero fax;Tipo struttura;Tipo struttura di ricovero;Codice struttura di ricovero;Denominazione struttura di ricovero;Mesi di funzionamento;Tipo rapporto con il S.S.N.;Titolare della convenzione;Presenza Apparecchiature;Anno apertura;Mese apertura;Anno chiusura;Mese chiusura;Giorni settimanali di apertura;Ore settimanali di apertura;Data aggiornamento;
2018;190;201;400300;S01;ATTIVITA' CLINICA;ATTANASIO SALVATORE;679990846;VIA TEN.COL. STUTO N. 12;84017;92026;amatoannamaria@libero.it;;922;436872;922;436872;AMBULATORIO E LABORATORIO;;;;12;2;1;N;1997;1;;;6;20;20180102;
2018;190;201;400400;S03;ATTIVITA' DI LABORATORIO;CENTRO ANALISI CLINICO BIOLOGICHE CACCIATORE M & C S.N.C.;2080180843;VIA BARONE CELSA N.10/12;84001;92100;laboratoriocam@libero.it;;922;605861;922;605861;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;30;20180102;
2018;190;201;400500;S01;ATTIVITA' CLINICA;CALCULLO CALOGERO;715340840;VIA CALLICRATIDE N. 13;84001;92100;calogero.calcullo@ag.omceo.it;;922;596611;922;596611;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;30;20180102;
2018;190;201;400700;S01;ATTIVITA' CLINICA;STUD. NEUR. DR.SSA CANDIDO TERESA & C.S.A.S.;2245110842;VIA IMERA N. 82;84001;92100;titacandido@hotmail.it;;922;596886;922;30026;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;30;20180102;
2018;190;201;400900;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;SIA CASA DI CURA S.ANNA S.P.A.;137210845;VIA PORTA AUREA;84001;92100;siaccsanna@libero.it;;922;409111;922;409310;AMBULATORIO E LABORATORIO;5;190504;SIA CASA DI CURA S. ANNA S.P.A.;12;2;3;S;1981;1;;;6;36;20180102;
2018;190;201;401000;S01;ATTIVITA' CLINICA;CENTRO ODONTOSTOMATOLOGICO CASTELLINO S.R.L.;2197530849;VIA GUSTAVO CHIESI N. 15;84001;92100;studio.castellino@libero.it;;922;606961;;;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;33;20180102;
2018;190;201;401100;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE GREEN S.R.L.;2339460848;VIA IMERA N. 222;84001;92100;laboratoriogreen@gmail.com;;922;595288;922;595288;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;30;20180102;
2018;190;201;401300;S01;ATTIVITA' CLINICA;CAVALLERO VALERIA;1444770844;VIA GIOENI N. 43;84001;92100;cavallerovaleria58@gmail.com;;922;29779;;;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;20;20180119;
2018;190;201;401500;S01;ATTIVITA' CLINICA;CENTRO EMODIALISI AURORA S.R.L.;233100841;VIA PIER SANTI MATTARELLA N. 89;84001;92100;TRUPIAAU@ALICE.IT;;922;602555;922;610926;ALTRO TIPO DI STRUTTURA TERRITORIALE;;;;12;2;2;S;1997;1;;;6;48;20180102;
2018;190;201;401600;S01;ATTIVITA' CLINICA;STUDIO FISIOKINESITERAPICO DA.MA.SCO. S.A.S. DI DANILE ANTONELLA;309410843;VIA F.CRISPI N. 132/140;84001;92100;STUDIODAMASCO@LIBERO.IT;;922;21132;922;21132;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;40;20180102;
2018;190;201;401700;S01;ATTIVITA' CLINICA;CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.;590560843;VIA RAGAZZI DEL '99 N. 68/72;84001;92100;centromedicoelios@alice.it;;922;595101;922;404092;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;401700;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.;590560843;VIA RAGAZZI DEL '99 N. 68/72;84001;92100;centromedicoelios@alice.it;;922;595101;922;404092;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;401700;S03;ATTIVITA' DI LABORATORIO;CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.;590560843;VIA RAGAZZI DEL '99 N. 68/72;84001;92100;centromedicoelios@alice.it;;922;595101;922;404092;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;401900;S01;ATTIVITA' CLINICA;CINA' ANTONINO;1322630847;VIA GIOENI N. 30;84001;92100;antocina@tin.it;;922;22899;922;22899;AMBULATORIO E LABORATORIO;;;;12;2;1;N;1997;1;;;5;16;20180102;
2018;190;201;402000;S01;ATTIVITA' CLINICA;CENTRO DERMATOLOGICO DOTTOR CARMELO SGARITO & C. S.A.S.;2622620843;VIA F. CRISPI N. 146;84001;92100;carmelosgarito@libero.it;;922;479131;922;479610;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;6;29;20180119;
2018;190;201;402200;S01;ATTIVITA' CLINICA;AMBULATORIO MEDICO DENTISTICO CARDILE E C. S.A.S.;2442600843;"CORSO COMMENDATORE CINQUEMANI ARCURI; N. 133";84015;92012;ambulatoriocardile@legamail.it;;320;8985092;;;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;45;20180109;
2018;190;201;402400;S01;ATTIVITA' CLINICA;SMILE CENTER S.N.C. DI ASARO SALVATORE DOMENICO;2229620840;VIA ROOSEVELT N. 50;84031;92029;SMILECENTER2012@VIRGILIO.IT;;922;881144;922;881144;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;4;16;20180102;
2018;190;201;402500;S01;ATTIVITA' CLINICA;STUDIO DENTISTICO DE LUCA DI MORREALE ANTONIO S.N.C.;2128780844;VIA CESARE BATTISTI N. 9;84001;92100;dott.antoniomorreale@hotmail.it;;922;596311;;;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;402600;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CENTRO RADIOLOGICO DI DIAGNOSTICA DI BARTOLO ZUCCARELLO V.& C S.N.C.;2202080848;VIA EMPEDOCLE N. 75;84001;92100;g.dibartolo@hotmail.it;;922;29882;922;29882;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;27;20180102;
2018;190;201;402700;S01;ATTIVITA' CLINICA;DI NOLFO ANDREA;1618870842;VIA S. FRANCESCO D'ASSISI N. 45;84001;92100;dr.dinolfo@gmail.com;;922;595145;922;595145;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;26;20180102;
2018;190;201;402900;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CENTRO DI DIAGNOSTICA PER IMMAGINI S.R.L. - DOTT. VINCENZO FRANGIAMORE;2617170846;VIA LAURICELLA N. 9;84001;92100;frangiamore.vincenzo@alice.it;;922;595766;922;595766;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;45;20180102;
2018;190;201;403100;S01;ATTIVITA' CLINICA;STUDIO ODONTOIATRICO GILOTTI - NOCERA DI GILOTTI IVA S.A.S.;2453480846;VIA PICONE N. 57;84001;92100;iva.gilotti@teletu.it;;922;401242;;;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;40;20180102;
2018;190;201;403300;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CENTRO DI DIAGNOSTICA PER IMMAGINI DOTT. LO ZITO - S.R.L.;2115990844;VIALE DELLA VITTORIA N. 217;84001;92100;CDILOZITO@LIBERO.IT;;922;24310;922;20307;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;56;20180119;
2018;190;201;403400;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE VITO MANNINA S.R.L.;2205530849;VIA PICONE N. 18;84001;92100;vitomannina@alice.it;;922;596422;922;596422;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;50;20180102;
2018;190;201;403600;S01;ATTIVITA' CLINICA;CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.;2088910845;VIA PIRANDELLO N. 14;84001;92100;rxmontalbano@libero.it;;922;20062;922;20062;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;25;20180102;
2018;190;201;403600;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;CENTRO DI DIAGNOSTICA E TERAPIA FISICA DOTT. G. MONTALBANO S.R.L.;2088910845;VIA PIRANDELLO N. 14;84001;92100;rxmontalbano@libero.it;;922;20062;922;20062;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;40;20180102;
2018;190;201;403700;S01;ATTIVITA' CLINICA;NOCERA GIUSEPPE;1303690844;VIA PICONE N. 31;84001;92100;NOCERAGIUSEPPE@GMAIL.COM;;922;29366;922;29366;AMBULATORIO E LABORATORIO;;;;12;2;1;N;1997;1;;;5;40;20180102;
2018;190;201;403800;S01;ATTIVITA' CLINICA;STUDIO OCULISTICO DEL DOTT. FABIO NAVARRA S.A.S;2621350848;VIA S. FRANCESCO D'ASSISI N. 30;84001;92100;navgio@libero.it;;922;22515;;;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;32;20180102;
2018;190;201;404000;S01;ATTIVITA' CLINICA;AMBUL. ODONT. DOTT. MARIA GIOVANNA POMO & CAPITANO S.A.S.;2580960843;VIA IMERA N. 97;84001;92100;mariagiovannapomo@libero.it;;922;594117;922;594117;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;30;20180102;
2018;190;201;404100;S01;ATTIVITA' CLINICA;ROSANO ANGELA;1422800845;VIA PETRARCA N. 2/BIS;84001;92100;angela.rosano@alice.it;;922;402141;;;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;4;20;20180119;
2018;190;201;404200;S03;ATTIVITA' DI LABORATORIO;ANALISI CLINICHE CENTRO FLEMING S.R.L.;2383110844;VIA MANZONI N. 120;84001;92100;mail@centrofleming.it;;922;22452;922;22452;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;32;20180102;
2018;190;201;404400;S01;ATTIVITA' CLINICA;STUDIO ENRICO S.A.S. DI SCIMECCA EUGENIO;2182890844;VIA V. EMANUELE ORLANDO N. 1;84001;92100;STUDIO.ENRICO@VIRGILIO.IT;;922;596615;922;596615;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;3;18;20180102;
2018;190;201;404500;S01;ATTIVITA' CLINICA;VISION CENTER DEL DOTT. SORCE GIOVANNI & C.- S.A.S.;2709680843;VIA ERACLITO N. 18;84001;92100;spanoguelialletti@libero.it;;922;607436;922;607436;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;20;20180102;
2018;190;201;404600;S02;DIAGNOSTICA STRUMENTALE E PER IMMAGINI;STUDIO DIAGNOSTICO INTEGRATO S.R.L.;318590841;VIALE DELLA VITTORIA 271/BIS;84001;92100;KALAMASURF@LIBERO.IT;;922;595188;922;594292;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;6;50;20180102;
2018;190;201;404700;S01;ATTIVITA' CLINICA;CENTRO ODONTO - STOMATOLOGICO S.A.S. DI ZAFFUTO EDOARDO & C.;2647880844;VIA EMPEDOCLE N. 111;84001;92100;ezaffut@gmail.com;;922;29525;922;29525;AMBULATORIO E LABORATORIO;;;;12;2;2;N;1997;1;;;5;33;20180102;
2018;190;201;404800;S03;ATTIVITA' DI LABORATORIO;LAB.AN.CLIN. LIGAMMARI ANNA MARIA & C. S.A.S.;2544480847;"VIA SANTUARIO;4";84002;92010;ENZOMANGIONE54@GMAIL.COM;;922;981820;922;981820;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;25;20180102;
2018;190;201;404900;S03;ATTIVITA' DI LABORATORIO;CENTRO DIAGNOSTICO DOTT.SSA ALONGI DEL DOTT. DI BETTA GIUSEPPE & C - S.A.S.;2544160845;"VIA ROMA ; N.92/93";84003;92021;laboratorioalongi@libero.it;;922;37149;922;37149;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;25;20180102;
2018;190;201;405000;S03;ATTIVITA' DI LABORATORIO;AESCULAPIUS S.R.L.;2276380843;VIA TORINO N. 10;84003;92021;aesculapius.srl@libero.it;;922;37243;922;609218;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;40;20180102;
2018;190;201;405100;S01;ATTIVITA' CLINICA;SCALZO ALDO;1637250844;VIA GIOVANNI XXIII;84003;92021;scalzoa@tin.it;;922;38421;922;38421;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;5;40;20180102;
2018;190;201;405300;S01;ATTIVITA' CLINICA;DI MARCO GIUSEPPINA;1648980843;VIA VENEZIA N. 101;84009;92022;dmgiuseppina@live.it;;922;902347;922;902347;AMBULATORIO E LABORATORIO;;;;12;2;1;S;1997;1;;;4;30;20180102;
2018;190;201;405400;S01;ATTIVITA' CLINICA;DOTT.SSA LOMBINO CONCETTINA & C. S.A.S.;2658790841;"CORSO MATTEOTTI; 17";84009;92022;concettinalombino@cgn.legamail.it;;922;902395;922;909196;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;4;32;20180116;
2018;190;201;405500;S03;ATTIVITA' DI LABORATORIO;ANALISI CLINICHE E MICROBIOLOGICHE DI MANGIAPANE GIUSEPPA & C. - S.A.S.;2546590841;C.SO GIACOMO MATTEOTTI N. 7;84009;92022;man.pina@virgilio.it;;922;900376;922;900376;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;405600;S03;ATTIVITA' DI LABORATORIO;DOTT.SSA BUSCEMI GIUSEPPA & FIGLI S.A.S. - LABORATORIO ANALISI;2429040849;VIA LIBERTA' N. 28;84010;92023;buscemigiuseppina@alice.it;;922;877383;922;877383;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1997;1;;;5;35;20180102;
2018;190;201;405700;S03;ATTIVITA' DI LABORATORIO;LABORATORIO ANALISI CLINICHE D.RI CORBO - MONTAPERTO S.N.C.;1300420849;VIA GARIBALDI N.154;84010;92023;laboratoriocorbomontaperto@gmail.com;;922;877674;922;877674;AMBULATORIO E LABORATORIO;;;;12;2;2;S;1999;1;;;5;33;20180102;
