ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
CT;ABC LABORATORIO DI ANALISI CLINICHE E BIOLOGICHE DEI DOTTORI BONACCORSI SEBASTIANO E MAGORDA GIOVANNA SNC;VIA S. VITO 30;Catania;CT;Medicina di laboratorio;Sede Operativa
CT;ACI DIAGNOSTICA SC A RL;via del Bosco 222;Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ACI DIAGNOSTICA SC A RL;via A. De Gasperi 7;Aci Sant'Antonio;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ACI DIAGNOSTICA SC A RL;via Stazione 3/A;Aci Castello;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ACI DIAGNOSTICA SC A RL;via Bellini 97;Valverde;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ACI DIAGNOSTICA SC A RL;Via Alcide De Gasperi n. 7;Aci Sant'Antonio;CT;Medicina di laboratorio - Aggregazione;Sede Operativa
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA PIETRO NENNI NÂ° 5;Adrano;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;CORSO SAN VITO NÂ° 5;Mascalucia;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA DELLA REGIONE NÂ° 21;Motta Sant'Anastasia;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;CORSO SICILIA NÂ° 143 ;Trecastagni;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;CORSO ITALIA NÂ° 158;Acireale;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA PAOLO ORSI NÂ° 5 ;Gravina di Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;STRADA 4 NÂ° 1;Riposto;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA S. VIGO NÂ° 97;Acireale;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA SAN FRANCESCO DI PAOLA NÂ°1;Scordia;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA MALTA NÂ°7;Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;VIA ANDRONE NÂ°55;Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;stradale Cravone 23;Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;via Teocrito 11;Catania;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;via L. Capuana 36;Mineo;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;piazza G. Vaccari 22;Vizzini;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL ; VIA FRANCESCO RISO N. 39;Catania;CT;Medicina di laboratorio - Aggregazione;Sede Operativa
CT;AIAS ONLUS  SEZ ACIREALE  - CENTRO DI ACIREALE;VIA LAZZARETTO 65;Acireale;CT;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CT;AIAS ONLUS  SEZ ACIREALE  - CENTRO DI GIARRE;VIA LUIGI ORLANDO NÂ°253 - 255;Giarre;CT;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CT;AIAS ONLUS SEZ ACIREALE  - CENTRO DI RANDAZZO;VIA CARMINE 76;Randazzo;CT;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CT;AMBULATORIO DENTISTICO ASSOCIATO DEI DOTTORI VENTURA MICHELE E VENTURA LIVIO;VIA R. FAILLA 5;Grammichele;CT;Odontoiatria;Sede Operativa
CT;AMBULATORIO DENTISTICO RIZZI S.A.S. DI AMEDEO RIZZI;Umberto n. 311;Catania;CT;Odontoiatria;Sede Operativa
CT;AMBULATORIO DI EMODIALISI KLOTHO SRL ;CORSO SICILIA S.N.;Mirabella Imbaccari;CT;Dialisi;Sede Operativa
CT;AMBULATORIO DI FISIOKINESITERAPIA DITTA TORTORA ROBERTA;VIA FINOCCHIARI 40/44/46;Aci Catena;CT;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
CT;AMBULATORIO DI NEFROLOGIA E DIALISI DELTA SRL;VIA VAL DI SAVOIA 16;Catania;CT;Dialisi;Sede Operativa
CT;AMBULATORIO DI OSTETRICIA E GINECOLOGIA SAS DI CALDACI ANTONINO & C;VIA IV NOVEMBRE 31/M;Adrano;CT;Ostetricia e ginecologia;Sede Operativa
CT;AMBULATORIO ODONTOIATRICO DOTT. CARMELO DISCA DI ALESCI ROSARIA CONCETTA & C ;VIA ETNEA 104;Tremestieri Etneo;CT;Odontoiatria;Sede Operativa
CT;AMBULATORIO ODONTOIATRICO ETNEO DELLA SOCIETA' ODONTOIATRIA LEONARDI SNC DEL DOTT FILIPPO LEONARDI;VIA III RETTA PONENTE 255;Belpasso;CT;Odontoiatria;Sede Operativa
CT;AMBULATORIO ODONTOIATRICO PALIKE' DELLA DOTTSSA AGNELLO ROSA SNC;VIA DUCA DEGLI ABRUZZI 6;Palagonia;CT;Odontoiatria;Sede Operativa
CT;AMBULATORIO ODONTOIATRICO SALVATORE FRANCESCO CALDACI E LUIGI TRISCALI & C SAS;VIA DELLE PROVINCIE 68;Giarre;CT;Odontoiatria;Sede Operativa
CT;ANALAB LABORATORIO ANALISI DELLA DSSA G GIUSINO SRL;L.GO BORDIGHERA 52;Catania;CT;Medicina di laboratorio;Sede Operativa
CT;ANALISI SERVICE SC A RL;largo dei Vespri 2;Nicolosi;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ANALISI SERVICE SC A RL;corso S. Vito 152;Mascalucia;CT;Medicina di laboratorio - Aggregazione;Punto di accesso
CT;ANFFAS ONLUS;VIA POLICASTRO 76;Catania;CT;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
CT;ARTROREUMA SRL;C.SO S. VITO 53;Mascalucia;CT;Reumatologia;Sede Operativa
CT;ASSISTENZA NEOPLASTICI DOMICILIO ALESSANDRA FUSCO ANDAF ONLUS;VIA F. BATTIATO 38/A;Catania;CT;Assistenza domiciliare persone in fase terminale;Sede Operativa
CT;ASSOCIAZIONE CENACOLO CRISTO RE SRL  SEZIONE TOSSICODIPENDENTI;S.P. 80 C.DA CROCE DEL VALLONE;Biancavilla;CT;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
CT;ASSOCIAZIONE CENACOLO CRISTO RE SRL  SEZIONE TOSSICODIPENDENTI;S.P. 80 C.DA CICCOLINUSA;Biancavilla;CT;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
CT;ASSOCIAZIONE CITODIAGNOSTICA;V.LE CASTAGNOLA 9;Catania;CT;Medicina di laboratorio;Sede Operativa
CT;ASSOCIAZIONE ISTITUTO REGINA VIRGINIUM - RSA  DON MICHELE CANNIZZO;VIA G.B. VACCARINI 31;Mascalucia;CT;Residenza Sanitaria Assistita;Sede Operativa
