ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
RG;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;CORSO UMBERTO 218/228;Modica;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;AMBULATORIO ODONTOIATRICO  IACONO SRL;VIA GARIBALDI 41;Ragusa;RG;Odontoiatria;Sede Operativa
RG;ANALISI CLINICHE DEI DOTT BIAGIO ROSSO - DOTT FRANCESCA FARRUGGIO SRL;VIA ARCH. MANCINI 1 ;Comiso;RG;Medicina di laboratorio;Sede Operativa
RG;ANALISI CLINICHE RIUNITE;via Crispi n.53;Ispica;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;ANALISI CLINICHE SNC DI G OCCHIPINTI E  E. PISANI ;VIA FIUMILLO 52/54;Scicli;RG;Medicina di laboratorio;Sede Operativa
RG;ANZALONE SALVATORE SAS;VIA N. BIXIO 336;Vittoria;RG;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
RG;BEAUTIFUL DAYS SOCIETA' COOPERATIVA SOCIALE ONLUS;PIAZZA C. OTTAVIANO SN;Modica;RG;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
RG;CAFEO SRL;C.DA COZZO ROTONDO 12/A;Modica;RG;Comunità  Terapeutica Assistita;Sede Operativa
RG;CASA DI CURA CLINICA DEL MEDITERRANEO;VIA E. FIERAMOSCA 100;Ragusa;RG;Casa di cura;Sede Operativa
RG;CENTRO ANALISI CLINICHE DR LUIGI BARONE SRL;VIA R. CANCELLIERI 41/45;Vittoria;RG;Medicina di laboratorio;Sede Operativa
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;VIA A.MORO NÂ°12;Modica;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;piazza San Giovanni 17;Monterosso Almo;RG;Medicina di laboratorio - Aggregazione;Punto Prelievo
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via Napoli 39 fraz. Scoglitti;Vittoria;RG;Medicina di laboratorio - Aggregazione;Punto Prelievo
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via Madonna delle Grazie 8;Giarratana;RG;Medicina di laboratorio - Aggregazione;Punto Prelievo
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via Sacro Cuore 105;Modica;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;v.le M. Rapisardi 47;Ispica;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;corso Europa 37;Chiaramonte Gulfi;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;viale dei Fiori 46;Scicli;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via C. Colombo 67;Santa Croce Camerina;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;p.zza G. B. Celestri 24;Santa Croce Camerina;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via Psaumida 38;Ragusa;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L;via E. Fieramosca 100;Ragusa;RG;Medicina di laboratorio - Aggregazione;Punto di accesso
RG;CENTRO BIOLOGIA CLINICA & LABORATORI ASSOCIATI S C A R L ;VIA GEN. LA ROSA N. 10;Ragusa;RG;Medicina di laboratorio - Aggregazione;Sede Operativa
RG;CENTRO CARDIOLOGICO DOTT  G DIPASQUALE SRL;VIA STIELA 1- 3;Ragusa;RG;Cardiologia;Sede Operativa
RG;CENTRO DIALISI DEL MEDITERRANEO;VIA PRAMPOLINI 19;Ragusa;RG;Dialisi;Sede Operativa
RG;CENTRO DIURNO AUTOS;PIAZZA IGEA N. 1;Ragusa;RG;Centro diurno per soggetti affetti da disturbo autistico;Sede Operativa
RG;CENTRO IBLEO TOMOGRAFIA COMPUTERIZZATA SRL;VIALE DELLE AMERICHE 163;Ragusa;RG;Radiologia;Sede Operativa
RG;CENTRO MEDICO SOCIALE PER LA RIABILITAZIONE IN ETA' EVOLUTIVA;VIA DANTE 97 ;Ragusa;RG;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
