ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
AG;ABC ANALISI CLINICHE SRL;VIA INGRAUDO GAGLIANO SALVATORE;Montallegro;AG;Medicina di laboratorio - Aggregazione;Punto di accesso
AG;ABC ANALISI CLINICHE SRL;via P. Nenni s.n.;Agrigento;AG;Medicina di laboratorio - Aggregazione;Punto di accesso
AG;ABC ANALISI CLINICHE SRL;viale della Vittoria 193;Agrigento;AG;Medicina di laboratorio - Aggregazione;Punto di accesso
AG;ABC ANALISI CLINICHE SRL ;Viale della Vittoria 271/bis;Agrigento;AG;Medicina di laboratorio - Aggregazione;Sede Operativa
AG;AESCULAPIUS SRL DI DOTTSSA G LATTUCA;VIA TORINO 10;Aragona;AG;Medicina di laboratorio;Sede Operativa
AG;AIAS ONLUS - SEZ AGRIGENTO - DI STEFANIA BUONGIORNO;VIA MATTEO CIMARRA, 39;Agrigento;AG;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
AG;AMB ODONT DOTT GIOVANNI RANDAZZO;VIA MATTEOTTI 7;Grotte;AG;Odontoiatria;Sede Operativa
AG;AMB SPECIALISTICO RENATO TRAINA SRL;VIA GIRGENTI 53;Bivona;AG;Dialisi;Sede Operativa
AG;AMBULATORIO DENTISTICO DOTT FAUSTO ARMENIO;CORSO REGINA MARGHERITA 206;Cattolica Eraclea;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO DERMATOLOGIA DOTT ANGELO LENTINI;C.SO GARIBALDI 273;Ravanusa;AG;Dermatologia;Sede Operativa
AG;AMBULATORIO DERMATOLOGICO DOTT DISTEFANO GIUSEPPE SAS;VIA PIERSANTI MATTARELLA 3/A;Favara;AG;Dermatologia;Sede Operativa
AG;AMBULATORIO DI CARDIOLOGIA  DELL DOTTSSA SAMPERISI GIUSEPPA ELEONORA SAS;VIA MAZZINI 16/A;Siculiana;AG;Cardiologia;Sede Operativa
AG;AMBULATORIO DI CARDIOLOGIA DEL DOTT ALFONSO SCIARRATTA SAS;VIA FIORENTINO 47/53;Palma di Montechiaro;AG;Cardiologia;Sede Operativa
AG;AMBULATORIO DI CARDIOLOGIA DOTT ANDREA DINOLFO;VIA S. FRANCESCO D'ASSISI 45;Agrigento;AG;Cardiologia;Sede Operativa
AG;AMBULATORIO DI CARDIOLOGIA DOTT DOMENICO SFERRAZZA;VIA TONNARELLA 6;Palma di Montechiaro;AG;Cardiologia;Sede Operativa
AG;AMBULATORIO DI FISIOCHINESITERAPIA DON GIUSEPPE LEONE DI FILIPPO LEONE & C  SAS;VIA VITT. EMANUELE 12;Burgio;AG;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
AG;AMBULATORIO DI UROLOGIA DOTT MINACAPILLI GIUSEPPE;VIA DIANA 29;Raffadali;AG;Urologia;Sede Operativa
AG;AMBULATORIO MEDICO DENTISTICO CARDILE & C SAS DEL DOTT CARDILE TOMMASO;CORSO COMMENDATORE CINQUEMANI ARCURI 133;Cianciana;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO MEDICO DI DERMATOLOGIA DOTT SALVATORE GARZIANO ;P.ZZA PROGRESSO 15/16;Raffadali;AG;Dermatologia;Sede Operativa
AG;AMBULATORIO MEDICO OCULISTICO DOTT A MASSARO & C SAS;VIA REINA 1;Santo Stefano Quisquina;AG;Oculistica e chirurgia ambulatoriale;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DEL DOTT GIUSEPPE MARRONE;VIA PIER DELLE VIGNE 44;Ribera;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT  DE MARCO VINCENZO;P.TTA GEN. C.A. DALLA CHIESA 30;Casteltermini;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT  PAOLO ENZO CAMMALLERI;VIA G. AMENDOLA 5;Cattolica Eraclea;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT CASTRONOVO ROSARIO & C SAS;VIA EDISON 2;Campobello di Licata;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT GIUSEPPE BURGIO;P.ZZA DOMENICO AQUILINO 136;Palma di Montechiaro;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT GIUSEPPE MESSINA;VIA CAMPIDOGLIO 12;Cattolica Eraclea;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT MARIA GIOVANNA POMO & CAPITANO SAS;VIA IMERA 97;Agrigento;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT PAOLO DIFALCO;VIA PERGUSA 75;Palma di Montechiaro;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT SALVATORE CASA';VIA SANT'ANGELO 51;Favara;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT SALVATORE FALZONE;VIA KENNEDY 86;Favara;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT SCICHILONE SANDRO;VIA NINO BIXIO 56;Palma di Montechiaro;AG;Odontoiatria;Sede Operativa
AG;AMBULATORIO ODONTOIATRICO DOTT TAIBI CALOGERO & C SAS;VIA GARIBALDI 68;Racalmuto;AG;Odontoiatria;Sede Operativa
