ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
SR;ACM LAB;VIA VERDI 15 BIS;Lentini;SR;Medicina di laboratorio - Aggregazione;Punto di accesso
SR;ACM LAB ;VIA ROSSO DI SAN SECONDO 10;Lentini;SR;Medicina di laboratorio - Aggregazione;Sede Operativa
SR;ADEL SAS DI ELGA CINCOTTA;VIALE TERACATI 51/E;Siracusa;SR;Odontoiatria;Sede Operativa
SR;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;P.G. CIANCI NÂ° 4;Sortino;SR;Medicina di laboratorio - Aggregazione;Punto di accesso
SR;AGGREGAZIONE MEDICINA DI LABORATORIO - AML SC A RL;CORSO GELONE NÂ°39;Siracusa;SR;Medicina di laboratorio - Aggregazione;Punto di accesso
SR;AIAS ONLUS -  SEZ PACHINO ;VIA UGO LA MALFA S.N.;Pachino;SR;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
SR;AIAS ONLUS - SEZIONE DI PALAZZOLO ACREIDE -  DI MARCO GAETANO;VIA MILANO S.N.;Palazzolo Acreide;SR;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
SR;ALDRAL SRL;VIA LAVAGGI 127;Augusta;SR;Dermatologia;Sede Operativa
SR;AMBULATORIO DI CARDIOLOGIA COCO  SRL;VIA DELLO STADIO 26;Lentini;SR;Cardiologia;Sede Operativa
SR;AMBULATORIO DI DIAGNOSI CARDIOVASCOLARE DOTT  ARCIERI SALVATORE & C SAS;VIA TISIA 60;Siracusa;SR;Cardiologia;Sede Operativa
SR;AMBULATORIO DI EMODIALISI FLORIDIANO SRL ;VIA CARBONARO 60;Floridia;SR;Dialisi;Sede Operativa
SR;AMBULATORIO GINECOLOGICO SANTA LUCIA DEL DOTT. BAZZANO GAETANO SAS;VIA PIAVE 6;Floridia;SR;Ostetricia e ginecologia;Sede Operativa
SR;AMBULATORIO ODONTOIATRICO ARETUSEO DADO SRL DI CUGNO LAURA;VIALE TERACATI 51/E;Siracusa;SR;Odontoiatria;Sede Operativa
SR;AMBULATORIO ODONTOIATRICO PALMERI SRL ;VIA BENEDETTO CROCE N. 6;Avola;SR;Odontoiatria;Sede Operativa
SR;AMBULATORIO ORL DEL DR CAPPUCCIO RENATO;VIALE SCALA GRECA 81;Siracusa;SR;Otorinolaringoiatria;Sede Operativa
SR;AMBULATORIO POLIDIAGNOSTICO PACHINESE  DI GENNARO ANGELO & C  SAS;VIA DI LORO 8;Rosolini;SR;Radiologia;Sede Operativa
SR;ANALISI CLINICHE MAIRA SAS ;VIA MAZZINI 7;Avola;SR;Medicina di laboratorio;Sede Operativa
SR;ANALISI CLINICHE RIUNITE;via D. Alighieri angolo via Trilussa s.n.;Rosolini;SR;Medicina di laboratorio - Aggregazione;Punto di accesso
SR;ANALISI CLINICHE RIUNITE;VIA D. ALIGHIERI ANGOLO VIA TRILUSSA S.N.;Rosolini;SR;Medicina di laboratorio - Aggregazione;Sede Operativa
SR;ANALISI CLINICHE RUBERA DI RUBERA CORRADINA E MARIA S.N.C;VIA NUNZIO COSTA 147;Pachino;SR;Medicina di laboratorio;Sede Operativa
SR;ANALISI CLINICHE TOMASELLI SALVATORE & C SNC;VIA GARIBALDI 27;Francofonte;SR;Medicina di laboratorio;Sede Operativa
SR;ANTOFIN SRL RSA ANNI D'ORO;C.DA SPALLA SN;Melilli;SR;Residenza Sanitaria Assistita;Sede Operativa
SR;ANTOFIN SRL RSA SCALA GRECA;VIA SCALA GRECA 406/A;Siracusa;SR;Residenza Sanitaria Assistita;Sede Operativa
SR;ASS CITTA' RINASCITA;VIA DI VILLA ORTISI 60;Siracusa;SR;Strutture riabilitazione ed educative assistenziali per dipendenti sostanze d'abuso;Sede Operativa
SR;ASSOCIAZIONE ASPER;VIA ETNEA 154/A;Carlentini;SR;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
SR;ASSOCIAZIONE AZZURRA PICCOLA SOC COOP A RL;VIA TORINO 13;Noto;SR;Presidio ambulatoriali recupero riabilitazione;Sede Operativa
SR;ASSOCIAZIONE EIDOS ONLUS;VIA DALLA CHIESA 55;Avola;SR;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
SR;ASSOCIAZIONE EIDOS ONLUS;VIALE TURATI 62;Floridia;SR;Presidi di riabilitazione funzionale di portatori disabilità  fisiche psichiche e sensoriali;Sede Operativa
