ASP;Denominazione;Indirizzo;Citta';Provincia;Attivita';Tipo sede
TP;AIAS ONLUS SEZ DI CASTELVETRANO - CENTRO DI RIABILITAZIONE;C.DA STRASATTO CICIRELLO S.S. 115;Castelvetrano;TP;Presidi di riabilitazione funzionale di portatori disabilit‡† fisiche psichiche e sensoriali;Sede Operativa
TP;AMBULATORIO DERMATOLOGICO DOTT MURGOLO DOMENICO;VIA DON RIZZO 12;Alcamo;TP;Dermatologia;Sede Operativa
TP;AMBULATORIO DERMATOLOGICO DOTT STUPPIA SALVATORE;C.SO VITT. VENETO 250/A;Mazara del Vallo;TP;Dermatologia;Sede Operativa
TP;AMBULATORIO DI CARDIOLOGIA DEL DOTT MARIO ARINI & C SAS;C.SO A. GRAMSCI 162;Marsala;TP;Cardiologia;Sede Operativa
TP;AMBULATORIO DI ORTOPEDIA DOTT MARIO MATRAXIA SRL;VIA ALCAMO 33 ;Trapani;TP;Ortopedia;Sede Operativa
TP;AMBULATORIO DI PATOLOGIA CLINICA SRL ;VIA SAN GIOVANNI BOSCO 70 ;Marsala;TP;Medicina di laboratorio;Sede Operativa
TP;AMBULATORIO DI RADIODIAGNOSTICA DOTT GRASSELLINO DOMENICO SRL;VIA XIX LUGLIO 27;Marsala;TP;Radiologia;Sede Operativa
TP;AMBULATORIO GRAFFEO IANNONE GIANLUIGI;VIA FURIA TRANQUILLINA 3;Mazara del Vallo;TP;Otorinolaringoiatria;Sede Operativa
TP;AMBULATORIO MEDICO DENTISTICO DEI DOTTORI DE GREGORIO LEONARDO E DE GREGORIO MICHELE;VIA ORTI 14 ;Trapani;TP;Odontoiatria;Sede Operativa
TP;AMBULATORIO MEDICO DENTISTICO DEI DOTTORI DE GREGORIO LEONARDO E DE GREGORIO MICHELE;VIA UGO FOSCOLO 45;Paceco;TP;Odontoiatria;Sede Operativa
TP;AMBULATORIO NEUROLOGICO DOTT  PIETRO RUGGIERI;VIA SALINISTI 1;Marsala;TP;Neurologia;Sede Operativa
