SIGLAPROVINCIA,DESCRIZIONEPROVINCIA,DESCRIZIONECOMUNE,CAP,INDIRIZZO,DESCRIZIONEFARMACIA,LATITUDINE,LONGITUDINE,PARTITAIVA
TP,TRAPANI,CASTELLAMMARE DEL GOLFO,91014,Corso Garibaldi 18,Farmacia Del Centro S.r.l.,38.0205546,12.881009,2669190817
RG,RAGUSA,VITTORIA,97019,"Stradale Scoglitti, 66",Farmacia Vittoria,0.0,0.0,1674990880
SR,SIRACUSA,FLORIDIA,94014,Viale Vittorio Veneto 15,Farmacia Santa Lucia,37.0803344,15.1584287,4281130403
CT,CATANIA,SCORDIA,95048,Via Tenente De Cristofaro N.37/39,Farmacia San Rocco Snc,0.0,0.0,5491510870
SR,SIRACUSA,PACHINO,96018,Via Giovanni Pascoli 22,"Farmacia San Corrado Della  Lmr S.n.c. Dei Dottori Luisa Rizza, Marino Giuseppe E Leonardi Salvino Antonio",36.7147567,15.0794503,1951920899
SR,SIRACUSA,FLORIDIA,96014,"Viale F. Turati, 44",Farmacia Turati,0.0,0.0,1951930898
SR,SIRACUSA,ROSOLINI,96019,Viale Della Libertà Snc,Farmacia Liberta' Srl,0.0,0.0,1951960895
TP,TRAPANI,ALCAMO,91011,Via Gammara 39/c,Farmacia Gammara Snc,37.9834014,12.9528192,2681000812
PA,PALERMO,BAGHERIA,90011,"Via Papa Giovanni Xxiii, 116",Farmacia Sanlorenzo,38.0836654,13.5161054,6662640827
CT,CATANIA,BIANCAVILLA,95033,"Viale Dei Fiori, 82",Farmacia Del Viale,37.649002,14.851527,5529760877
CL,CALTANISSETTA,GELA,93012,Contrada Marchitello S.s. 115 S.n.,Farmacia Marchitello,0.0,0.0,2014760850
PA,PALERMO,SAN GIUSEPPE JATO,90048,"Via Palermo, 123",Farmacia Dello Jato S.n.c.,37.9730347,13.1872546,6668010827
PA,PALERMO,PALERMO,90146,"Via Ugo La Malfa, 115",Farmacia La Malfa,38.1636401,13.3146247,6660620821
PA,PALERMO,VILLABATE,90039,Via Messina Ficarazzelli 11,Nuova Farmacia Snc Dei Dottori Alagna E C.,38.0880621,13.452666,6658950826
RG,RAGUSA,RAGUSA,97100,Via Torricelli 29,Farmasalus,36.9550273,14.503862,167507080
AG,AGRIGENTO,FAVARA,92026,Viale Pietro Nenni 68,Farmacia Itriafarm S.r.l.,0.0,0.0,1606520847
