SIGLAPROVINCIA;DESCRIZIONEPROVINCIA;DESCRIZIONECOMUNE;CAP;INDIRIZZO;DENOMINAZIONESITOLOGISTICO;LATITUDINE;LONGITUDINE;PARTITAIVA
ME;MESSINA;MESSINA;98123;via cesare battisti 207;eurosan;38,18235052;15,54897578;1893680833
CT;CATANIA;CATANIA;95127;Largo Aquileia n.10;Sole e Natura di Aricò Alessandra;37,5171713;15,1032377;4159410879
RG;RAGUSA;VITTORIA;97019;Via Principe Umberto, 168;ARTEMISIA;36,9518576;14,535159;1229190887
CT;CATANIA;SAN GREGORIO DI CATANIA;95027;Via Umberto n.100,102;Erb. La Verbena Dr. Gregorio Puglisi;37,55795784;15,10894062;2743130870
ME;MESSINA;MESSINA;98121;via garibaldi 293;L'OFFICINA DELLE ERBE;38,1940297;15,554114;2131380830
SR;SIRACUSA;LENTINI;96016;via G. VERGA, 22;erboristeria e sanitaria MEDICAMENTA;37,2928411;15,0003191;1111620892
CL;CALTANISSETTA;GELA;93012;P.zza Umberto I°, 13;Parafarmacia Dott.ssa Silvana Cammilleri;37,0741526;14,2403537;1755550850
CT;CATANIA;ACIREALE;95024;Corso Italia n50;Di raimondo Rosalba;37,63441983;15,16067303;3090950878
CT;CATANIA;CATANIA;95123;V.Scannapieco 5;L'angolo della Salute di E. Patti;37,51705065;15,06057729;4845160870
CT;CATANIA;CATANIA;95123;V.Scannapieco 5;SMA-Scannapieco;37,51705065;15,06057729;4845160870
CT;CATANIA;GRAVINA DI CATANIA;95030;V.Gramsci 53 A;Sma-Gravina;37,60272478;15,07551896;4845160870
RG;RAGUSA;MODICA;97015;Corso Garibaldi, n° 5-7-9;Medicamenta;36,85389858;14,82264719;1326090881
ME;MESSINA;MESSINA;98123;Via cesare battisti, 190;parafarmacia dott.ssa marchesini;38,18235052;15,54897578;2886810833
ME;MESSINA;MESSINA;98122;via cesare battisti 200;parafarmacia dott.ssa marchesini;38,18235052;15,54897578;2886810833
PA;PALERMO;PALERMO;90144;Via Mario Rapisardi 68/b;Parafarmacia Dott. Andrea Galante;38,13567085;13,34754693;6535140823
PA;PALERMO;PALERMO;90144;via Mario Rapisardi 68/b;Parafarmacia dott. Giuseppe Canepa;38,13567085;13,34754693;5554770825
SR;SIRACUSA;PALAZZOLO ACREIDE;96010;via adige, 6;Helios s.a.s di Carpino Paola;37,0677283;14,9081231;1471640894
CT;CATANIA;CATANIA;95100;corso sicilia 16;NOVAFARMA;37,50768063;15,08915156;4418510873
CT;CATANIA;CATANIA;95125;Via Etnea 473;Plant Pharma;37,56168402;15,05907861;3951620875
PA;PALERMO;BAGHERIA;90011;Via G. Lo Bue 61;Erboristeria Le Tre Nature Dott. Pietra Cangialosi;38,0862433;13,5082035;4665020824
AG;AGRIGENTO;MONTALLEGRO;92010;via Contrada Carlici N 1;Supermercato Max di Marrella Daniela e Sorella;37,3911879;13,3503598;2088360843
CT;CATANIA;TREMESTIERI ETNEO;95030;VIA MONTI SICANI 3,5,7;PARAFARMACIA;37,57444225;15,07341013;4434330876
CT;CATANIA;TREMESTIERI ETNEO;95030;Via MONTI SICANI 3,5,7;PARAFARMACIA;37,57444225;15,07341013;4434330876
SR;SIRACUSA;SIRACUSA;96100;Corso Gelone 44;Farmaci06;37,0714069;15,2829873;1556690897
TP;TRAPANI;CASTELVETRANO;91022;Piazza G.Cascino n.18;Centro Sanitario Ortopedico di Calderone Natalina;37,674462;12,795252;1908080813
