,LATITUDINE,LONGITUDINE,CAP,ASP,Provincia,Citta',Indirizzo,Denominazione,Attivita',Tipo sede
0,38.0845172,13.4250904,90122,PA,Palermo,Palermo,CORSO DEI MILLE 56,CASA DI CURA COSENTINO,Casa di cura,Sede Operativa
1,38.1497653,13.3345738,90167,PA,Palermo,Palermo,VIA AUSONIA 43/45,CENTRO ANDROS ,Day Surgery autonomo,Sede Operativa
2,38.0909085,13.5394179,90017,PA,Palermo,Palermo,VIA ROMA 94,NUOVA CASA DI CURA DEMMA ,Radiologia,Sede Operativa
3,38.1025962,13.392458,90121,PA,Palermo,Palermo,VIA BEN HAUKAL 13,AIAS ONLUS  PALERMO - SEZIONE BEN HAUCAL,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
4,38.0842772,13.5029784,90011,PA,Palermo,Belmonte Mezzagno,VIA ANIME SANTE 24,AIAS ONLUS BELMONTE MEZZAGNO,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
5,38.0910224,13.3749285,90124,PA,Palermo,Bagheria,VIA DANTE 28,AIAS ONLUS PALERMO - CENTRO BAGHERIA,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
6,38.0963939,13.3471836,90128,PA,Palermo,Palermo,VIA GRAMSCI 4/34,AIAS ONLUS PALERMO - CENTRO GRAMSCI,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
7,38.1375171,13.321498,90145,PA,Palermo,Palermo,"Via Paruta, n. 47-47/A-47/B",AIAS ONLUS PALERMO - CENTRO PARUTA ,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
8,38.1202481,13.3431928,90138,PA,Palermo,Palermo,VIA RAITI 16,AIAS ONLUS PALERMO - CENTRO RAITI,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
9,38.1347478,13.3418019,90144,PA,Palermo,Palermo,VIA BERNINI 4,AIAS ONLUS PALERMO - SEZIONE BERNINI,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
10,38.1506372,13.0853212,90049,PA,Palermo,Palermo,VIA G. BESIO 73/79,AIAS ONLUS PALERMO - SEZIONE BESIO ,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
11,38.1484257,13.3307744,90167,PA,Palermo,Partinico,VIA DE SANTIS S.N.C.,AIAS ONLUS PARTINICO ,Presidi di riabilitazione funzionale di portatori disabilit fisiche psichiche e sensoriali,Sede Operativa
12,37.9048101,13.8157322,90010,PA,Palermo,Palermo,VIALE REGINA MARGHERITA 5,AMBRA STUDIO MEDICO DEI DOTTORI ROBERTO PALERMO VINCENZO AGRIFOGLIO E PAOLA NAPOLI MEDICI E DELLA DOTTSSA ROSANNA CIRIMINNA BIOLOGA,Procreazione Medicalmente Assistita,Sede Operativa
13,38.1303669,13.3556068,90139,PA,Palermo,Palermo,VIA SCIUTI 87/C,AMBULATORIO CARDIOLOGICO DI FRANCO DOTTSSA FIAMMETTA,Cardiologia,Sede Operativa
