COMUNE,LATITUDINE,LONGITUDINE,CAP,Indirizzo,Denominazione struttura,Tipo assistenza erogata,Descrizione tipo assistenza erogata,Tipo struttura,Denominazione struttura di ricovero,Mesi di funzionamento,Presenza Apparecchiature,Giorni settimanali di apertura,Ore settimanali di apertura,Partita IVA,E-mail,Sito web,Prefisso,Telefono,Prefisso fax,Numero fax
0,0.0,0.0,92026,VIA TEN.COL. STUTO N. 12,ATTANASIO SALVATORE,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,6,20,679990846.0,amatoannamaria@libero.it,,922,436872,922.0,436872.0
0,0.0,0.0,92100,VIA BARONE CELSA N.10/12,CENTRO ANALISI CLINICO BIOLOGICHE CACCIATORE M & C S.N.C.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,5,30,2080180843.0,laboratoriocam@libero.it,,922,605861,922.0,605861.0
Agrigento,37.3083844,13.5816593,92100,VIA CALLICRATIDE N. 13,CALCULLO CALOGERO,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,30,715340840.0,calogero.calcullo@ag.omceo.it,,922,596611,922.0,596611.0
Agrigento,37.3167603,13.5801025,92100,VIA IMERA N. 82,STUD. NEUR. DR.SSA CANDIDO TERESA & C.S.A.S.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,30,2245110842.0,titacandido@hotmail.it,,922,596886,922.0,30026.0
0,40.4268637,15.0052748,92100,VIA PORTA AUREA,SIA CASA DI CURA S.ANNA S.P.A.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,SIA CASA DI CURA S. ANNA S.P.A.,12,S,6,36,137210845.0,siaccsanna@libero.it,,922,409111,922.0,409310.0
Agrigento,37.2726048,13.6196139,92100,VIA GUSTAVO CHIESI N. 15,CENTRO ODONTOSTOMATOLOGICO CASTELLINO S.R.L.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,33,2197530849.0,studio.castellino@libero.it,,922,606961,,
Agrigento,37.3167603,13.5801025,92100,VIA IMERA N. 222,LABORATORIO ANALISI CLINICHE GREEN S.R.L.,S03,ATTIVITA' DI LABORATORIO,AMBULATORIO E LABORATORIO,,12,S,6,30,2339460848.0,laboratoriogreen@gmail.com,,922,595288,922.0,595288.0
Agrigento,37.3125654,13.584526,92100,VIA GIOENI N. 43,CAVALLERO VALERIA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,20,1444770844.0,cavallerovaleria58@gmail.com,,922,29779,,
0,0.0,0.0,92100,VIA PIER SANTI MATTARELLA N. 89,CENTRO EMODIALISI AURORA S.R.L.,S01,ATTIVITA' CLINICA,ALTRO TIPO DI STRUTTURA TERRITORIALE,,12,S,6,48,233100841.0,TRUPIAAU@ALICE.IT,,922,602555,922.0,610926.0
0,0.0,0.0,92100,VIA F.CRISPI N. 132/140,STUDIO FISIOKINESITERAPICO DA.MA.SCO. S.A.S. DI DANILE ANTONELLA,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,N,5,40,309410843.0,STUDIODAMASCO@LIBERO.IT,,922,21132,922.0,21132.0
0,41.062169,14.337563,92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,S01,ATTIVITA' CLINICA,AMBULATORIO E LABORATORIO,,12,S,5,35,590560843.0,centromedicoelios@alice.it,,922,595101,922.0,404092.0
0,41.062169,14.337563,92100,VIA RAGAZZI DEL '99 N. 68/72,CENTRO FISIOKINESITERAPIA ELIOS - SOC. COOPER. - A.R.L.,S02,DIAGNOSTICA STRUMENTALE E PER IMMAGINI,AMBULATORIO E LABORATORIO,,12,S,5,35,590560843.0,centromedicoelios@alice.it,,922,595101,922.0,404092.0
