Comune,PopolazioneTotale,Provincia,SiglaProvincia
Alcara Li Fusi,1702,MESSINA,ME
Alessandria Della Rocca,2452,AGRIGENTO,AG
Ali',657,MESSINA,ME
Ali' Terme,2315,MESSINA,ME
Alia,3305,PALERMO,PA
Alimena,1761,PALERMO,PA
Aliminusa,1054,PALERMO,PA
Altavilla Milicia,8668,PALERMO,PA
Aragona,8766,AGRIGENTO,AG
Avola,30392,SIRACUSA,SR
Bagheria,52928,PALERMO,PA
Agrigento,412472,AGRIGENTO,AG
Siracusa,383738,SIRACUSA,SR
Trapani,55559,TRAPANI,TP
Palermo,630167,PALERMO,PA
Messina,218786,MESSINA,ME
Caltanissetta,58532,CALTANISSETTA,CL
Enna,25512,ENNA,EN
Catania,298762,CATANIA,CT
Ragusa,73159,RAGUSA,RG
Acate,10576,RAGUSA,RG
Aci Bonaccorsi,3499,CATANIA,CT
Aci Castello,17852,CATANIA,CT
Aci Catena,27790,CATANIA,CT
Aci Sant'Antonio,17995,CATANIA,CT
Acireale,50515,CATANIA,CT
Acquaviva Platani,869,CALTANISSETTA,CL
Acquedolci,5483,MESSINA,ME
Adrano,33899,CATANIA,CT
Agira,7671,ENNA,EN
Aidone,4183,ENNA,EN
Altofonte,9848,PALERMO,PA
Antillo,808,MESSINA,ME
Assoro,4827,ENNA,EN
Augusta,34658,SIRACUSA,SR
Balestrate,6229,PALERMO,PA
Barcellona Pozzo Di Gotto,39885,MESSINA,ME
Barrafranca,11813,ENNA,EN
Basico',596,MESSINA,ME
Biancavilla,22918,CATANIA,CT
Bisacquino,4128,PALERMO,PA
Bivona,3214,AGRIGENTO,AG
Blufi,876,PALERMO,PA
Bolognetta,4090,PALERMO,PA
Bompensiere,491,CALTANISSETTA,CL
Bompietro,1197,PALERMO,PA
Borgetto,7062,PALERMO,PA
Brolo,5736,MESSINA,ME
Bronte,18220,CATANIA,CT
Buccheri,1729,SIRACUSA,SR
Burgio,2497,AGRIGENTO,AG
Buscemi,950,SIRACUSA,SR
Buseto Palizzolo,2761,TRAPANI,TP
Butera,4164,CALTANISSETTA,CL
Caccamo,7663,PALERMO,PA
Cammarata,5896,AGRIGENTO,AG
Campobello Di Licata,9062,AGRIGENTO,AG
Campobello Di Mazara,11382,TRAPANI,TP
Campofelice Di Fitalia,452,PALERMO,PA
Campofelice Di Roccella,7666,PALERMO,PA
Campofiorito,1134,PALERMO,PA
Campofranco,2656,CALTANISSETTA,CL
Camporeale,2990,PALERMO,PA
Camporotondo Etneo,5214,CATANIA,CT
Canicatti',34449,AGRIGENTO,AG
Canicattini Bagni,6517,SIRACUSA,SR
Capaci,11339,PALERMO,PA
Capizzi,2844,MESSINA,ME
Capo D'Orlando,13031,MESSINA,ME
Capri Leone,4353,MESSINA,ME
Casteldaccia,11585,PALERMO,PA
Baucina,1858,PALERMO,PA
Belmonte Mezzagno,10858,PALERMO,PA
Belpasso,27977,CATANIA,CT
Calamonaci,1158,AGRIGENTO,AG
Calascibetta,4062,ENNA,EN
Calatabiano,5121,CATANIA,CT
Caltabellotta,3194,AGRIGENTO,AG
Caltagirone,35765,CATANIA,CT
Caltavuturo,3558,PALERMO,PA
Camastra,2010,AGRIGENTO,AG
Carini,39773,PALERMO,PA
Carlentini,17040,SIRACUSA,SR
Caronia,3042,MESSINA,ME
Casalvecchio Siculo,726,MESSINA,ME
Cassaro,724,SIRACUSA,SR
Castel Di Iudica,4269,CATANIA,CT
Castel Di Lucio,1226,MESSINA,ME
Castelbuono,8100,PALERMO,PA
Castellammare Del Golfo,14610,TRAPANI,TP
Castellana Sicula,3020,PALERMO,PA
Castell'Umberto,2830,MESSINA,ME
Castelmola,1062,MESSINA,ME
Casteltermini,7269,AGRIGENTO,AG
Castelvetrano,29341,TRAPANI,TP
Castiglione Di Sicilia,2903,CATANIA,CT
Castrofilippo,2618,AGRIGENTO,AG
Castroreale,2246,MESSINA,ME
Catenanuova,4473,ENNA,EN
Cattolica Eraclea,3300,AGRIGENTO,AG
Centuripe,5033,ENNA,EN
Cerami,1849,ENNA,EN
Cerda,4923,PALERMO,PA
Cesaro',2165,MESSINA,ME
Comiso,30016,RAGUSA,RG
Comitini,852,AGRIGENTO,AG
Condro',471,MESSINA,ME
Contessa Entellina,1502,PALERMO,PA
Corleone,10364,PALERMO,PA
Erice,26089,TRAPANI,TP
Ficarazzi,12991,PALERMO,PA
Cefala' Diana,981,PALERMO,PA
Cefalu',13881,PALERMO,PA
Chiaramonte Gulfi,7988,RAGUSA,RG
Chiusa Sclafani,2530,PALERMO,PA
Cianciana,3103,AGRIGENTO,AG
Ciminna,3428,PALERMO,PA
Cinisi,11936,PALERMO,PA
Custonaci,5274,TRAPANI,TP
Delia,3858,CALTANISSETTA,CL
Falcone,2793,MESSINA,ME
Favara,31593,AGRIGENTO,AG
Favignana,4525,TRAPANI,TP
Ferla,2305,SIRACUSA,SR
Ficarra,1286,MESSINA,ME
Fiumedinisi,1275,MESSINA,ME
Fiumefreddo Di Sicilia,9073,CATANIA,CT
Floresta,469,MESSINA,ME
Floridia,21182,SIRACUSA,SR
Fondachelli-Fantina,989,MESSINA,ME
Francavilla Di Sicilia,3543,MESSINA,ME
Francofonte,11746,SIRACUSA,SR
Frazzano',587,MESSINA,ME
Furci Siculo,3211,MESSINA,ME
Furnari,4003,MESSINA,ME
Gaggi,3091,MESSINA,ME
Gagliano Castelferrato,3266,ENNA,EN
Galati Mamertino,2261,MESSINA,ME
Gallodoro,336,MESSINA,ME
Gangi,6110,PALERMO,PA
Giardini-Naxos,9231,MESSINA,ME
Giarratana,2830,RAGUSA,RG
Giarre,26510,CATANIA,CT
Gibellina,3724,TRAPANI,TP
Gioiosa Marea,6733,MESSINA,ME
Giuliana,1683,PALERMO,PA
Godrano,1036,PALERMO,PA
Grammichele,12407,CATANIA,CT
Graniti,1460,MESSINA,ME
Gravina Di Catania,25185,CATANIA,CT
Grotte,5209,AGRIGENTO,AG
Gualtieri Sicamino',1580,MESSINA,ME
Itala,1513,MESSINA,ME
Joppolo Giancaxio,1082,AGRIGENTO,AG
Lampedusa E Linosa,6505,AGRIGENTO,AG
Lascari,3677,PALERMO,PA
Leni,682,MESSINA,ME
Lentini,21646,SIRACUSA,SR
Leonforte,12331,ENNA,EN
Lercara Friddi,6182,PALERMO,PA
Longi,1321,MESSINA,ME
Malfa,994,MESSINA,ME
Forza D'Agro',835,MESSINA,ME
Gela,71217,CALTANISSETTA,CL
Geraci Siculo,1702,PALERMO,PA
Giardinello,2262,PALERMO,PA
Gratteri,859,PALERMO,PA
Isnello,1306,PALERMO,PA
Isola Delle Femmine,7041,PALERMO,PA
Ispica,16253,RAGUSA,RG
Letojanni,2842,MESSINA,ME
Librizzi,1579,MESSINA,ME
Licata,34287,AGRIGENTO,AG
Licodia Eubea,2731,CATANIA,CT
Limina,729,MESSINA,ME
Linguaglossa,5003,CATANIA,CT
Lipari,12565,MESSINA,ME
Lucca Sicula,1719,AGRIGENTO,AG
Maletto,3599,CATANIA,CT
Malvagna,629,MESSINA,ME
Mandanici,505,MESSINA,ME
Maniace,3757,CATANIA,CT
Marianopoli,1600,CALTANISSETTA,CL
Marsala,79809,TRAPANI,TP
Mascali,14330,CATANIA,CT
Mascalucia,31964,CATANIA,CT
Mazara Del Vallo,50039,TRAPANI,TP
Mazzarino,10932,CALTANISSETTA,CL
Mazzarra' Sant'Andrea,1388,MESSINA,ME
Mazzarrone,3965,CATANIA,CT
Melilli,13171,SIRACUSA,SR
Menfi,11814,AGRIGENTO,AG
Meri',2281,MESSINA,ME
Monforte San Giorgio,2508,MESSINA,ME
Mongiuffi Melia,528,MESSINA,ME
Monreale,38698,PALERMO,PA
Montagnareale,1393,MESSINA,ME
Montalbano Elicona,2038,MESSINA,ME
Montallegro,2377,AGRIGENTO,AG
Montedoro,1379,CALTANISSETTA,CL
Monterosso Almo,2783,RAGUSA,RG
Montevago,2695,AGRIGENTO,AG
Niscemi,24934,CALTANISSETTA,CL
Nissoria,2844,ENNA,EN
Nizza Di Sicilia,3526,MESSINA,ME
Noto,24264,SIRACUSA,SR
Novara Di Sicilia,1174,MESSINA,ME
Oliveri,2086,MESSINA,ME
Pace Del Mela,5980,MESSINA,ME
Paceco,10779,TRAPANI,TP
Pagliara,1118,MESSINA,ME
Palazzo Adriano,1814,PALERMO,PA
Palazzolo Acreide,8101,SIRACUSA,SR
Palma Di Montechiaro,21373,AGRIGENTO,AG
Petrosino,7903,TRAPANI,TP
Pettineo,1236,MESSINA,ME
Piana Degli Albanesi,5541,PALERMO,PA
Marineo,6113,PALERMO,PA
Mezzojuso,2617,PALERMO,PA
Milazzo,30043,MESSINA,ME
Milena,2700,CALTANISSETTA,CL
Militello In Val Di Catania,6765,CATANIA,CT
Militello Rosmarino,1163,MESSINA,ME
Milo,1039,CATANIA,CT
Mineo,4486,CATANIA,CT
Mirabella Imbaccari,4217,CATANIA,CT
Mirto,889,MESSINA,ME
Misilmeri,28760,PALERMO,PA
Misterbianco,49017,CATANIA,CT
Mistretta,4364,MESSINA,ME
Modica,53503,RAGUSA,RG
Moio Alcantara,677,MESSINA,ME
Montelepre,5742,PALERMO,PA
Montemaggiore Belsito,2949,PALERMO,PA
Motta Camastra,794,MESSINA,ME
Motta D'Affermo,657,MESSINA,ME
Motta Sant'Anastasia,12081,CATANIA,CT
Mussomeli,9913,CALTANISSETTA,CL
Naro,7007,AGRIGENTO,AG
Naso,3462,MESSINA,ME
Nicolosi,7594,CATANIA,CT
Nicosia,12686,ENNA,EN
Pachino,21714,SIRACUSA,SR
Palagonia,15784,CATANIA,CT
Pantelleria,7352,TRAPANI,TP
Partanna,9838,TRAPANI,TP
Partinico,30674,PALERMO,PA
Paterno',45162,CATANIA,CT
Patti,12699,MESSINA,ME
Pedara,15058,CATANIA,CT
Petralia Soprana,2968,PALERMO,PA
Petralia Sottana,2475,PALERMO,PA
Piazza Armerina,20642,ENNA,EN
Piedimonte Etneo,3898,CATANIA,CT
Pietraperzia,6303,ENNA,EN
Piraino,3778,MESSINA,ME
Poggioreale,1303,TRAPANI,TP
Polizzi Generosa,2908,PALERMO,PA
Porto Empedocle,15600,AGRIGENTO,AG
Portopalo Di Capo Passero,3782,SIRACUSA,SR
Pozzallo,18879,RAGUSA,RG
Priolo Gargallo,11249,SIRACUSA,SR
Prizzi,4172,PALERMO,PA
Racalmuto,7650,AGRIGENTO,AG
Raccuja,864,MESSINA,ME
Raddusa,2812,CATANIA,CT
Raffadali,12008,AGRIGENTO,AG
Ragalna,4204,CATANIA,CT
Ramacca,10211,CATANIA,CT
Randazzo,10186,CATANIA,CT
Ravanusa,10349,AGRIGENTO,AG
Realmonte,4378,AGRIGENTO,AG
Regalbuto,6664,ENNA,EN
Reitano,723,MESSINA,ME
Resuttano,1752,CALTANISSETTA,CL
Riesi,10502,CALTANISSETTA,CL
Riposto,14007,CATANIA,CT
Roccapalumba,2162,PALERMO,PA
Rometta,6573,MESSINA,ME
Pollina,2853,PALERMO,PA
Ribera,17836,AGRIGENTO,AG
Roccalumera,3940,MESSINA,ME
Roccamena,1339,PALERMO,PA
Roccavaldina,998,MESSINA,ME
Roccella Valdemone,562,MESSINA,ME
Rodi' Milici,1932,MESSINA,ME
Rosolini,20577,SIRACUSA,SR
Salaparuta,1562,TRAPANI,TP
Salemi,9986,TRAPANI,TP
Sambuca Di Sicilia,5341,AGRIGENTO,AG
San Biagio Platani,2860,AGRIGENTO,AG
San Cataldo,20939,CALTANISSETTA,CL
San Cipirello,4961,PALERMO,PA
San Cono,2416,CATANIA,CT
San Filippo Del Mela,6728,MESSINA,ME
San Fratello,3259,MESSINA,ME
San Giovanni Gemini,7517,AGRIGENTO,AG
San Giovanni La Punta,23725,CATANIA,CT
San Giuseppe Jato,8055,PALERMO,PA
San Gregorio Di Catania,11485,CATANIA,CT
San Marco D'Alunzio,1778,MESSINA,ME
San Mauro Castelverde,1346,PALERMO,PA
San Michele Di Ganzaria,2878,CATANIA,CT
San Pier Niceto,2595,MESSINA,ME
San Piero Patti,2570,MESSINA,ME
San Pietro Clarenza,8297,CATANIA,CT
San Salvatore Di Fitalia,1119,MESSINA,ME
San Teodoro,1238,MESSINA,ME
San Vito Lo Capo,4814,TRAPANI,TP
Santa Caterina Villarmosa,4673,CALTANISSETTA,CL
Santa Cristina Gela,1006,PALERMO,PA
Santa Croce Camerina,10979,RAGUSA,RG
