CAP,Latitudine,Longitudine,ASP,Provincia,Citta',Indirizzo,Denominazione,Attivita',Tipo sede
90122,38.0845172,13.4250904,PA,Palermo,Palermo,CORSO DEI MILLE 56,CASA DI CURA COSENTINO,Casa di cura,Sede Operativa
90167,38.1497653,13.3345738,PA,Palermo,Palermo,VIA AUSONIA 43/45,CENTRO ANDROS ,Day Surgery autonomo,Sede Operativa
90019,37.9955645,13.6546812,PA,Palermo,Palermo,VIA ROMA 94,NUOVA CASA DI CURA DEMMA ,Radiologia,Sede Operativa
90121,38.1025962,13.392458,PA,Palermo,Palermo,VIA BEN HAUKAL 13,AIAS ONLUS  PALERMO - SEZIONE BEN HAUCAL,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Belmonte Mezzagno,VIA ANIME SANTE 24,AIAS ONLUS BELMONTE MEZZAGNO,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90011,38.0842772,13.5029784,PA,Palermo,Bagheria,VIA DANTE 28,AIAS ONLUS PALERMO - CENTRO BAGHERIA,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90124,38.0910224,13.3749285,PA,Palermo,Palermo,VIA GRAMSCI 4/34,AIAS ONLUS PALERMO - CENTRO GRAMSCI,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
0,0.0,0.0,PA,Palermo,Palermo,"Via Paruta, n. 47-47/A-47/B",AIAS ONLUS PALERMO - CENTRO PARUTA ,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90128,38.0963939,13.3471836,PA,Palermo,Palermo,VIA RAITI 16,AIAS ONLUS PALERMO - CENTRO RAITI,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
90145,38.1375171,13.321498,PA,Palermo,Palermo,VIA BERNINI 4,AIAS ONLUS PALERMO - SEZIONE BERNINI,Presidi di riabilitazione funzionale di portatori disabilità fisiche psichiche e sensoriali,Sede Operativa
