lat,long,description,name
38.0845172,13.4250904,CORSO DEI MILLE 56,CASA DI CURA COSENTINO
38.1497653,13.3345738,VIA AUSONIA 43/45,"CENTRO ANDROS "
37.9955645,13.6546812,VIA ROMA 94,"NUOVA CASA DI CURA DEMMA "
38.1025962,13.392458,VIA BEN HAUKAL 13,AIAS ONLUS  PALERMO - SEZIONE BEN HAUCAL
0.0,0.0,VIA ANIME SANTE 24,AIAS ONLUS BELMONTE MEZZAGNO
38.0842772,13.5029784,VIA DANTE 28,AIAS ONLUS PALERMO - CENTRO BAGHERIA
38.0910224,13.3749285,VIA GRAMSCI 4/34,AIAS ONLUS PALERMO - CENTRO GRAMSCI
0.0,0.0,"Via Paruta, n. 47-47/A-47/B","AIAS ONLUS PALERMO - CENTRO PARUTA "
38.0963939,13.3471836,VIA RAITI 16,AIAS ONLUS PALERMO - CENTRO RAITI
38.1375171,13.321498,VIA BERNINI 4,AIAS ONLUS PALERMO - SEZIONE BERNINI
0.0,0.0,VIA G. BESIO 73/79,"AIAS ONLUS PALERMO - SEZIONE BESIO "
0.0,0.0,VIA DE SANTIS S.N.C.,"AIAS ONLUS PARTINICO "
38.1202481,13.3431928,VIALE REGINA MARGHERITA 5,AMBRA STUDIO MEDICO DEI DOTTORI ROBERTO PALERMO VINCENZO AGRIFOGLIO E PAOLA NAPOLI MEDICI E DELLA DOTTSSA ROSANNA CIRIMINNA BIOLOGA
38.1347478,13.3418019,VIA SCIUTI 87/C,AMBULATORIO CARDIOLOGICO DI FRANCO DOTTSSA FIAMMETTA
38.1506372,13.0853212,VIA RUGGERO SETTIMO 113-115-117,AMBULATORIO CARDIOLOGICO DOTT GIANNOLA ANTONINO SAS
0.0,0.0,VIA F. SPECIALE 79,"AMBULATORIO CARDIOLOGICO SAS DI RIZZO DOTTSSA ROSA "
0.0,0.0,LARGO FRANCESCO GARUFI 8,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DELLA DOTTSSA BALDACCHINO MARIA PINA SAS
0.0,0.0,VIA L. SETTEMBRINI 4/A - 6,AMBULATORIO DI OSTETRICIA E GINECOLOGIA DOTTSSA MARIA LETIZIA TOMASINO E C SAS
38.1484257,13.3307744,P.ZZA EUROPA 19/A,AMBULATORIO DIALISI E TERAPIA RENALE SRL
37.9048101,13.8157322,VIA NOTARBARTOLO 31,AMBULATORIO MEDICO ODONTOIATRICO DEL DOTT FRANCESCO AMMIRATA
38.1303669,13.3556068,"Via Enrico Albanese, n. 17",AMBULATORIO OCULISTICO FOCUS SRL
0.0,0.0,VIA R. WAGNER 9,AMBULATORIO ODONTOIATRICO MEDICI SRLS
37.96732045,13.180932394082662,PIAZZA DEL POPOLO 2,AMBULATORIO ODONTOIATRICO CAROLLO DEI DOTTORI CAROLLO GASPARE E MARIO SAS
